gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	selected	logFC	AveExpr	t	P.Value	adj.P.Val	B	limma_direction_match	limma_fdr_pass	bootstrap_stability_pass	stable_core	arm
ZNF703	0.33392027	0.335614	0.154873792827129	0.49569870904088	1	0.000999000999000999	0.0020636674	0.0126510092688221	FALSE	TRUE	TRUE	0.33392027	TRUE	0.326823930396074	0.00206367022513514	4.74914867653463	2.92389616789781e-05	0.00411240976360146	2.39500717509907	TRUE	TRUE	TRUE	TRUE	up
SQOR	-0.32557386	-0.32644695	-0.462187009304762	-0.186385440826416	1	0.000999000999000999	0.03753755	0.0126510092688221	FALSE	TRUE	TRUE	0.32557386	FALSE	-0.325725088541322	0.0375375500918919	-4.73050309645971	2.99576006151213e-05	0.00411240976360146	2.36808806545328	TRUE	TRUE	TRUE	TRUE	down
HSPA1A	-0.40205288	-0.4048322	-0.519070480763912	-0.286133991926908	1	0.000999000999000999	0.08860319	0.0126510092688221	FALSE	TRUE	TRUE	0.40205288	TRUE	-0.404746968123438	0.0886032127648649	-4.70956867060369	3.19718179464454e-05	0.00425850714256241	2.3070495811332	TRUE	TRUE	TRUE	TRUE	down
TMEM158	0.102367386	0.10349021	0.0553933537565172	0.147442894056439	1	0.000999000999000999	0.009840986	0.0126510092688221	FALSE	TRUE	TRUE	0.102367386	FALSE	0.10178384769616	0.00984098902162162	4.67196195045381	3.59312161737755e-05	0.00468405449993027	2.19755916396552	TRUE	TRUE	TRUE	TRUE	up
APLP2	-0.33472934	-0.331061	-0.490374466776848	-0.180906643345952	1	0.000999000999000999	0.0077904626	0.0126510092688221	FALSE	TRUE	TRUE	0.33472934	FALSE	-0.334622075943535	0.00779046217972973	-4.66548516562609	3.78551684543489e-05	0.00478599610094479	2.15273589951677	TRUE	TRUE	TRUE	TRUE	down
NDUFAB1	-0.2315521	-0.23147613	-0.338488584011793	-0.114323399215937	1	0.000999000999000999	0.035589468	0.0126510092688221	FALSE	TRUE	TRUE	0.2315521	FALSE	-0.237572413005379	0.0355894685	-4.65157825507793	3.82754706946784e-05	0.00478599610094479	2.13830091221522	TRUE	TRUE	TRUE	TRUE	down
IMPA2	-0.2462538	-0.24643308	-0.354447232931852	-0.130930967628956	1	0.000999000999000999	0.04199146	0.0126510092688221	FALSE	TRUE	TRUE	0.2462538	FALSE	-0.255434190574783	0.0419914651864865	-4.62652957462508	4.13634686343894e-05	0.00487373023697892	2.06556812963077	TRUE	TRUE	TRUE	TRUE	down
UQCRFS1	-0.23350224	-0.23222175	-0.344954367727041	-0.138956316933036	1	0.000999000999000999	0.03976756	0.0126510092688221	FALSE	TRUE	TRUE	0.23350224	FALSE	-0.23375166546947	0.0397675637918919	-4.63827481902784	3.9886097251937e-05	0.00487373023697892	2.09966017776411	TRUE	TRUE	TRUE	TRUE	down
GLRX2	-0.10141659	-0.10301927	-0.142737450823188	-0.0548838683404028	1	0.000999000999000999	0.0085709095	0.0126510092688221	FALSE	TRUE	TRUE	0.10141659	FALSE	-0.103900607210592	0.00857091107972973	-4.63090611796053	4.08067688653391e-05	0.00487373023697892	2.07826907846706	TRUE	TRUE	TRUE	TRUE	down
MSX2	0.4173779	0.4134304	0.187865725904703	0.684177084267139	1	0.000999000999000999	0.008359566	0.0126510092688221	FALSE	TRUE	TRUE	0.4173779	TRUE	0.413514335469062	0.00835956962162162	4.628320497562	4.24448996208638e-05	0.00490679056560439	2.0454344663741	TRUE	TRUE	TRUE	TRUE	up
TUSC1	-0.18521194	-0.18810764	-0.25154949426651	-0.112666779942811	1	0.000999000999000999	0.040538467	0.0126510092688221	FALSE	TRUE	TRUE	0.18521194	FALSE	-0.188027324253649	0.0405384692027027	-4.58418120932594	4.71517247842493e-05	0.0053499744028351	1.94282840520922	TRUE	TRUE	TRUE	TRUE	down
LRRC19	-0.34771597	-0.35158134	-0.484830068796873	-0.211130802333355	1	0.000999000999000999	0.077779785	0.0126510092688221	FALSE	TRUE	TRUE	0.34771597	TRUE	-0.342115545052	0.0777797831891892	-4.56434931963161	5.01297914864203e-05	0.00558445877158723	1.88544922270539	TRUE	TRUE	TRUE	TRUE	down
CCL14	-0.09366474	-0.0916953	-0.13011896982789	-0.0528259890154004	1	0.000999000999000999	0.007250839	0.0126510092688221	FALSE	TRUE	TRUE	0.09366474	FALSE	-0.0925683485320489	0.00725084120540541	-4.5561265869837	5.14181752389683e-05	0.00562569928016355	1.86167776047783	TRUE	TRUE	TRUE	TRUE	down
ENC1	0.34196734	0.3406503	0.144284012168646	0.56125453710556	1	0.000999000999000999	0.0027457615	0.0126510092688221	FALSE	TRUE	TRUE	0.34196734	TRUE	0.338967690856933	0.00274576204864865	4.54726426298673	5.44424265658587e-05	0.00565173001987822	1.81214192981372	TRUE	TRUE	TRUE	TRUE	up
SLC17A1	-0.16522539	-0.16526198	-0.22362942956388	-0.107187680527568	1	0.000999000999000999	0.017660372	0.0126510092688221	FALSE	TRUE	TRUE	0.16522539	FALSE	-0.159785781038007	0.0176603669459459	-4.5462339339699	5.30114524545573e-05	0.00565173001987822	1.83309374720177	TRUE	TRUE	TRUE	TRUE	down
KIF3C	0.14105037	0.1405488	0.0648982048034668	0.223744058981538	1	0.000999000999000999	0.0054068277	0.0126510092688221	FALSE	TRUE	TRUE	0.14105037	FALSE	0.138361065037674	0.00540682711486487	4.54153891142966	5.39629543655969e-05	0.00565173001987822	1.81687612065431	TRUE	TRUE	TRUE	TRUE	up
DRD2	0.05871851	0.05954043	0.0299770373851061	0.0876223430037498	1	0.000999000999000999	0.0015346428	0.0126510092688221	FALSE	TRUE	TRUE	0.05871851	FALSE	0.0589601905388743	0.00153464262635135	4.53225592916331	5.53458138065437e-05	0.00565173001987822	1.79273384157421	TRUE	TRUE	TRUE	TRUE	up
ITGA9	0.17727223	0.17621088	0.0753186101093888	0.281191925704479	1	0.000999000999000999	0.0037128546	0.0126510092688221	FALSE	TRUE	TRUE	0.17727223	FALSE	0.175721032815147	0.00371285222972973	4.53103471180707	5.72183392659082e-05	0.0057471600767577	1.76555705038779	TRUE	TRUE	TRUE	TRUE	up
ETHE1	-0.50222063	-0.4986599	-0.729083766043186	-0.259525553882122	1	0.000999000999000999	0.005585316	0.0126510092688221	FALSE	TRUE	TRUE	0.50222063	TRUE	-0.499671104589575	0.00558531498108108	-4.50144476787109	6.26424518774918e-05	0.00599492783984535	1.68073597450931	TRUE	TRUE	TRUE	TRUE	down
GDF15	0.40532106	0.40207547	0.235349282622337	0.592505712807178	1	0.000999000999000999	0.0060460777	0.0126510092688221	FALSE	TRUE	TRUE	0.40532106	TRUE	0.396502331022853	0.00604607418918919	4.50014861539054	6.28912737600373e-05	0.00599492783984535	1.67702387965667	TRUE	TRUE	TRUE	TRUE	up
ATP5MG	-0.2975394	-0.29847896	-0.441804587841034	-0.155544988811016	1	0.000999000999000999	0.03099282	0.0126510092688221	FALSE	TRUE	TRUE	0.2975394	FALSE	-0.303007714895236	0.0309928225297297	-4.48710298066462	6.3598875402309e-05	0.00599492783984535	1.66259211061168	TRUE	TRUE	TRUE	TRUE	down
SLC7A5	0.30587047	0.30385363	0.129347436502576	0.492662789672613	1	0.000999000999000999	0.0047529605	0.0126510092688221	FALSE	TRUE	TRUE	0.30587047	TRUE	0.30123764189625	0.0047529543	4.49902602986445	6.31075615158608e-05	0.00599492783984535	1.67380910152021	TRUE	TRUE	TRUE	TRUE	up
FAM162A	-0.3340822	-0.33564353	-0.509494069218636	-0.149293300136924	1	0.000999000999000999	0.06265628	0.0126510092688221	FALSE	TRUE	TRUE	0.3340822	FALSE	-0.341739893645181	0.0626562788648649	-4.46222272822914	6.86516785497996e-05	0.00627804230559137	1.59103684438671	TRUE	TRUE	TRUE	TRUE	down
RBKS	-0.11946683	-0.11958064	-0.16461980342865	-0.0793394722044468	1	0.000999000999000999	0.011811736	0.0126510092688221	FALSE	TRUE	TRUE	0.11946683	FALSE	-0.118581100058449	0.0118117364702703	-4.46577147498496	6.79075681647757e-05	0.00627804230559137	1.60123608950024	TRUE	TRUE	TRUE	TRUE	down
TBX3	0.28470665	0.28510287	0.115428022108972	0.466702666133642	0.999	0.002	0.0011680534	0.015846696449565	FALSE	TRUE	TRUE	0.28470665	TRUE	0.28070207358651	0.00116805504054054	4.46218961576049	7.06252916981346e-05	0.0063635465034481	1.56844090686374	TRUE	TRUE	TRUE	TRUE	up
