specimen_id	donor_id	route	cell_type	n_cells	epithelial_positive_fraction	immune_positive_fraction	stromal_positive_fraction	endothelial_positive_fraction	any_nonepithelial_positive_fraction	INPP5D_positive_fraction	INPP5D_mean_raw_count	TIMP1_positive_fraction	TIMP1_mean_raw_count	S100P_positive_fraction	S100P_mean_raw_count	LCN2_positive_fraction	LCN2_mean_raw_count
HTA11_3077_2000002011	HTA11_3077	normal	TAC	28	1	0	0.0357142857142857	0.0714285714285714	0.107142857142857	0.0357142857142857	0.0357142857142857	0.0357142857142857	0.0357142857142857	0.0714285714285714	0.142857142857143	0.178571428571429	0.178571428571429
HTA11_3252_2000002011	HTA11_3252	normal	ABS	316	1	0.0316455696202532	0.0126582278481013	0.0886075949367089	0.129746835443038	0.104430379746835	0.123417721518987	0.00632911392405063	0.00949367088607595	0.0253164556962025	0.0348101265822785	0.474683544303797	1.33860759493671
HTA11_3252_2000002011	HTA11_3252	normal	GOB	44	1	0.0227272727272727	0	0.0681818181818182	0.0681818181818182	0.0454545454545455	0.0681818181818182	0	0	0.0454545454545455	0.0681818181818182	0.0681818181818182	0.0681818181818182
HTA11_3252_2000002011	HTA11_3252	normal	TAC	80	0.975	0.0125	0.0125	0.15	0.175	0.25	0.3	0.0125	0.0125	0	0	0.7	2.25
HTA11_3252_2000002021	HTA11_3252	normal	ABS	351	0.997150997150997	0.0313390313390313	0.0056980056980057	0.0512820512820513	0.0854700854700855	0.0170940170940171	0.0170940170940171	0.0056980056980057	0.0056980056980057	0.0341880341880342	0.0484330484330484	0.327635327635328	0.598290598290598
HTA11_3252_2000002021	HTA11_3252	normal	GOB	82	0.98780487804878	0.0731707317073171	0	0.0365853658536585	0.109756097560976	0.0121951219512195	0.0121951219512195	0.0365853658536585	0.0487804878048781	0.182926829268293	0.341463414634146	0.134146341463415	0.292682926829268
HTA11_3252_2000002021	HTA11_3252	normal	TAC	91	0.978021978021978	0.021978021978022	0	0.0769230769230769	0.0989010989010989	0.0769230769230769	0.0879120879120879	0.043956043956044	0.043956043956044	0.032967032967033	0.032967032967033	0.384615384615385	0.736263736263736
HTA11_3361_2000001011	HTA11_3361	conventional_adenoma	ABS	1679	0.997617629541394	0.0655151876116736	0.0184633710541989	0.115544967242406	0.189398451459202	0.0559857057772484	0.0625372245384157	0.0571768910065515	0.0661107802263252	0.170339487790351	0.32817153067302	0.140559857057772	0.188207266229899
HTA11_3361_2000001011	HTA11_3361	conventional_adenoma	GOB	821	0.993909866017052	0.0816077953714982	0.0207064555420219	0.0962241169305725	0.181485992691839	0.099878197320341	0.133982947624848	0.132764920828258	0.239951278928136	0.438489646772229	1.34713763702801	0.0779537149817296	0.130328867235079
HTA11_3361_2000001011	HTA11_3361	conventional_adenoma	TAC	186	0.994623655913978	0.0591397849462366	0.032258064516129	0.0967741935483871	0.155913978494624	0.279569892473118	0.403225806451613	0.365591397849462	0.795698924731183	0.56989247311828	2.71505376344086	0.32258064516129	0.93010752688172
HTA11_3361_2000002011	HTA11_3361	normal	ABS	345	0.994202898550725	0.0202898550724638	0.0115942028985507	0.0492753623188406	0.0811594202898551	0.0115942028985507	0.0115942028985507	0.00289855072463768	0.00289855072463768	0.0202898550724638	0.0318840579710145	0.0898550724637681	0.0927536231884058
HTA11_3361_2000002011	HTA11_3361	normal	GOB	207	0.990338164251208	0.0193236714975845	0.00483091787439614	0.0338164251207729	0.0531400966183575	0.0144927536231884	0.0144927536231884	0	0	0.0966183574879227	0.14975845410628	0.00483091787439614	0.00483091787439614
HTA11_3361_2000002011	HTA11_3361	normal	TAC	85	0.988235294117647	0	0.0117647058823529	0.0117647058823529	0.0235294117647059	0.0352941176470588	0.0588235294117647	0.0235294117647059	0.0352941176470588	0.0117647058823529	0.0117647058823529	0.0588235294117647	0.0588235294117647
HTA11_3361_2000002021	HTA11_3361	normal	ABS	648	1	0.0262345679012346	0.00462962962962963	0.100308641975309	0.12962962962963	0.0216049382716049	0.0262345679012346	0.0123456790123457	0.0138888888888889	0.037037037037037	0.0493827160493827	0.101851851851852	0.115740740740741
HTA11_3361_2000002021	HTA11_3361	normal	GOB	52	1	0.0576923076923077	0.0192307692307692	0.153846153846154	0.230769230769231	0.0192307692307692	0.0192307692307692	0.0576923076923077	0.0769230769230769	0.307692307692308	0.807692307692308	0	0
HTA11_3361_2000002021	HTA11_3361	normal	TAC	68	1	0.0294117647058824	0.0147058823529412	0.102941176470588	0.147058823529412	0.0147058823529412	0.0294117647058824	0.0147058823529412	0.0147058823529412	0.0588235294117647	0.0588235294117647	0.235294117647059	0.294117647058824
