row_id	donor_id	route_group	full_core_score	panel_k1	panel_k2	panel_k3	panel_k4	panel_k5	panel_k6	panel_k7	panel_k8	panel_k9	panel_k10	panel_k11	panel_k12	panel_k13	panel_k14	panel_k15	panel_k16	panel_k17	panel_k18	panel_k19	panel_k20	panel_k21	panel_k22	panel_k23	panel_k24	panel_k25	panel_k26	panel_k27	panel_k28	panel_k29	panel_k30
21	HTA11_5212	conventional_adenoma	-0.855734026402756	-2.02500458986107	-2.01876889776488	-1.83983050877389	-1.60848137440966	-1.7152578632454	-1.76437854352015	-1.68797446500203	-1.54852794980035	-1.59272921007269	-1.55817007557019	-1.44591573578838	-1.39643257490311	-1.37145160719762	-1.30867824272851	-1.34332975875674	-1.33775732452534	-1.3106643205234	-1.32975940926453	-1.29916757494188	-1.3402507292045	-1.32326215867709	-1.33140197125977	-1.39704343539272	-1.4753513007529	-1.44934695140874	-1.41335437688805	-1.36814473337981	-1.36593567458297	-1.30680293562866	-1.20602215566357
22	HTA11_5212	normal	-0.650846568719837	-1.76326646067103	-0.848338798012514	-0.969605146705158	-1.16388242070414	-1.13138301225543	-0.938668005214643	-0.815877783397107	-0.879920535712887	-0.792852577513947	-0.768520250203382	-0.710337969348999	-0.725555536574977	-0.699519277218108	-0.662981752641346	-0.73040719862987	-0.702517182775864	-0.716086073856506	-0.665939131358533	-0.676834111128531	-0.683088749307629	-0.747630675759714	-0.795245088190236	-0.76614544024847	-0.762102235016738	-0.819140952520988	-0.845668671880192	-0.803051803578652	-0.787605823546717	-0.769360705282575	-0.784310253395345
23	HTA11_5216	normal	-0.786253593693252	-2.0512514889629	-1.97875097832737	-1.94445834372859	-1.88571993575842	-1.6690653325528	-1.50617946885821	-1.41993353761428	-1.47422699560275	-1.3845920279242	-1.36488222346552	-1.38078952364845	-1.31013520626094	-1.19050850305101	-1.27124537577469	-1.15899536934135	-1.12579623813951	-1.16382698537735	-1.1640037079648	-1.10913416323552	-1.09924988261447	-1.14813354487314	-1.07943324201495	-1.02508990667792	-1.0509473094029	-1.07774757190079	-1.09387039322484	-1.09334268181591	-1.09396494520744	-1.07252917913739	-1.08688342418708
24	HTA11_5363	normal	-0.5095966350306	-2.09244049813324	-1.09544457681873	-0.835581935621502	-0.782763552935681	-0.700628988951137	-0.593988803755303	-0.52866873369186	-0.445065249870067	-0.496491981838553	-0.626501657210694	-0.547665756143428	-0.617034236892579	-0.619248122628961	-0.6165529337189	-0.636450862775907	-0.598141878612304	-0.562559322485807	-0.577480243499449	-0.623607520020944	-0.59382358844104	-0.575539531374718	-0.619568364424337	-0.60694084809301	-0.593287198569118	-0.624609974028352	-0.698774119348796	-0.695050895626713	-0.689895653077392	-0.702154373639022	-0.742050365408062
25	HTA11_546	conventional_adenoma	1.77902782465122	1.86648225128107	1.69715934133912	1.37086247781509	1.55476640599822	1.60553476852871	1.67443252672047	1.89882378885242	1.91828425656649	2.16576103821275	2.06993618595167	2.03579213347047	2.03231084302194	1.97330835386658	1.90566498830524	1.90012462515606	1.840164129479	1.78537201563087	1.82692288681486	1.84521399126263	1.82931812941834	1.81944321713969	1.80040457584296	1.74757881491421	1.74085086557961	1.73962830260079	1.73744913143998	1.7272137873476	1.70309429788795	1.69384953442446	1.70688672562799
26	HTA11_546	normal	-0.524586119385236	-0.20992138954787	-0.293147121539452	-0.434319533872493	-0.393520578176308	-0.454857981102111	-0.436601312705525	-0.434852899479571	-0.486623586236649	-0.535821199977294	-0.611444025215809	-0.594655214916365	-0.626765601474727	-0.587986179287194	-0.627918671787009	-0.596303964800753	-0.572871316866509	-0.606747917329493	-0.571754903498133	-0.568601366267446	-0.550300397557365	-0.525256688094023	-0.557399363231429	-0.585309154457809	-0.56328299640636	-0.557705242959639	-0.579207404598246	-0.577258900596855	-0.607358819800842	-0.566909106323511	-0.544737222559828
27	HTA11_6025	conventional_adenoma	0.0824349694326871	-0.894881285523583	-1.52529535924111	-1.12090462481247	-1.14990929205359	-0.94360081557157	-0.901169790775332	-0.83639366278471	-0.746011827887424	-0.712964576685597	-0.658968230407671	-0.580271180692045	-0.501780216567101	-0.480775832058161	-0.476027863092251	-0.428515251078709	-0.441410567680604	-0.420732712021213	-0.401944537949959	-0.399353936249377	-0.38264376481753	-0.372627642392627	-0.36146825921404	-0.378370955505229	-0.381832595237345	-0.38453484749356	-0.38865118728397	-0.40650691947861	-0.41092853289285	-0.418246579821831	-0.408679681708883
28	HTA11_6025	normal	0.0550177218495433	0.313877146933526	-0.259506899827837	-0.0140821629620952	-0.243979103519466	-0.181389999630052	-0.238536482654253	-0.115697198759078	-0.0579049403413899	-0.128293535931794	-0.0880104288701793	-0.0173255463477062	0.0195404261502669	0.0234340137717325	0.0191429459673291	0.0528840254888859	0.0387220766466502	0.00320497557134436	0.0103660357516994	-0.0107590178269603	-0.000610922223399757	0.00370056647172745	0.0076698845368002	0.00722835393189064	-0.00798885022617557	-0.0280315149204658	-0.0314578078972572	-0.0414278852964002	-0.0414085343295337	-0.051971358162257	-0.0618630660032579
29	HTA11_6134	normal	-0.513769947769265	-0.387268821152136	-0.625497698729467	-0.583065040540603	-0.382753900488328	-0.445722006288193	-0.351257776967677	-0.423333224634222	-0.388487799581849	-0.480164861196121	-0.388593822004655	-0.382989033964843	-0.496775032596583	-0.46128139605026	-0.490629421178334	-0.462624597892399	-0.51146055956136	-0.471054110839144	-0.450346530412142	-0.474411335818348	-0.454659800230901	-0.483447747921424	-0.502329438393793	-0.488018264860861	-0.470780288149519	-0.48502446960135	-0.499486209132301	-0.477016800512047	-0.483982505996606	-0.512418924211101	-0.521408215072617
30	HTA11_6147	normal	-0.807314024602267	-2.05381035529322	-1.56390290669855	-1.2374092158284	-1.18637681551442	-1.16184714122244	-1.01510072972053	-1.06609608632523	-1.0758882809535	-1.05949010861631	-1.02808689405777	-1.01832431401131	-1.06390497822446	-1.04297450735097	-1.03532356176037	-1.02160059449995	-1.00302194763811	-1.01411373056108	-0.983316805267522	-0.923680059809157	-0.929261341207949	-0.940609246512519	-0.93466719302798	-0.988766389568889	-0.966301883783333	-0.972883525076832	-0.966713313863466	-0.93907186122451	-0.931720945080216	-0.925073807753096	-0.956113278237664
31	HTA11_6310	normal	-0.752611735155915	-0.862032637361131	-0.493309119258866	-0.977250026217948	-0.846615156176928	-0.784346172437115	-0.992481504863904	-0.900751394937055	-0.791597485817426	-0.861999521341932	-0.889658669624718	-0.896613908397662	-0.949861892817534	-0.937192587978351	-0.923353656484607	-0.979024998959567	-0.901893968022002	-0.866814171260017	-0.925491638054376	-0.95565621987329	-0.944787505139279	-0.926390862505861	-0.884453208210694	-0.860375299261915	-0.921144744468636	-0.91337251154702	-0.906971030294409	-0.918790125363784	-0.899387931835272	-0.953051386830147	-0.984464102775183
32	HTA11_696	conventional_adenoma	1.5737870017259	3.22601874372055	2.98116733294621	2.3453457258692	2.25670809406141	2.20641995184658	1.97110369138833	1.93268991008526	1.94671201062564	2.08478544285054	1.95366850363113	1.91145476047619	1.92178922051193	1.89770389292975	1.82971612168978	1.89969987297296	1.87904281113273	2.06022186126555	1.98161460870402	2.0232332541027	2.08195130153245	2.03072920907839	2.07964984798911	2.04842300927452	2.00009520202788	1.99706345662166	1.95162868852166	1.92269967231413	1.87441349855155	1.87062072343396	1.8371866317684
33	HTA11_696	normal	-0.832219962724626	-0.713158787516673	-0.887833719444433	-0.607102879849648	-0.571520423806094	-0.68554656940241	-0.869910287959884	-0.754804798446171	-0.739918072400151	-0.769623592675539	-0.774952502202017	-0.747062161220427	-0.72376418495425	-0.729900498470094	-0.777367609218393	-0.764324844143026	-0.761626248993877	-0.713232983576712	-0.688613882802984	-0.685747059420882	-0.692836810603519	-0.744003771921497	-0.716131934400981	-0.715061401420943	-0.727541636069587	-0.732420655176043	-0.738230085017518	-0.747938766178698	-0.705196680799397	-0.725311576397651	-0.708994072653036
34	HTA11_78	conventional_adenoma	1.47206379719581	2.49644271111725	1.23079682230502	1.71895831988293	1.89441688113305	1.84444938669356	1.90678012749853	1.98572725348032	1.819830271587	1.73503694036392	1.59839406475734	1.75297672403937	1.64300391164251	1.69675244925848	1.84203643144387	1.75312421542187	1.81656663492784	1.70457536510501	1.83197772212316	1.85950737765732	1.85657501213887	1.86978310293257	1.86149131850442	1.87674073312599	1.87078960714486	1.88262268246537	1.8779594109313	1.92389345022741	1.98834878320989	1.9925627679542	1.98372276649981
35	HTA11_78	normal	-0.627410564661224	1.25191428883419	-0.137822306512762	-0.28181711205854	-0.478397513220838	-0.51874376055067	-0.644308213249555	-0.561013133815299	-0.636423880689983	-0.660918355107826	-0.766003004436462	-0.707318910457742	-0.744263782618673	-0.750367944257039	-0.724371461433819	-0.839865496045299	-0.779945328352988	-0.851981181306252	-0.909568741997413	-0.91289833607101	-0.885913503209878	-0.909695259256114	-0.830502180260606	-0.801306291774674	-0.768585247192794	-0.74632536462722	-0.741562871377478	-0.743783730533358	-0.758745976304123	-0.727081758176302	-0.705006089205188
36	HTA11_83	normal	-0.675219015120554	-0.825971930760701	-0.758410308177487	-0.261789825183445	-0.429904947202606	-0.516767365682395	-0.514029956254907	-0.459809658429577	-0.406900532071741	-0.315268579272214	-0.263772603887339	-0.461066575330599	-0.469027168278658	-0.461771790738398	-0.510479106742407	-0.553858086064843	-0.526981883159761	-0.512348698916507	-0.588750253073214	-0.54921123163704	-0.600910948930761	-0.62166179395497	-0.614423530039602	-0.63671826941033	-0.581310204793058	-0.546790057445924	-0.512927157254464	-0.515081718927703	-0.533381767478806	-0.538188867334911	-0.499836841041609
37	HTA11_866	conventional_adenoma	1.74932085675014	1.59836919575717	1.27101153975843	1.4871984235302	1.35860003766274	1.3157421725636	1.31800431428655	1.33927838985841	1.67153259348164	1.64335849466126	1.65738577701628	1.75879671083709	1.77287102454656	1.76339130697626	1.81833905515109	1.75200493130445	1.7141064702035	1.69475173422534	1.67510501884426	1.71846381022502	1.7480210845503	1.70418439670278	1.71494583365979	1.68251555921757	1.70178387628929	1.69967282266494	1.66079418063246	1.61897886664782	1.60302156233489	1.59834847010666	1.59482175803875
