gene	arm	logFC	adj.P.Val	direction_stability	bootstrap_ci_low	bootstrap_ci_high	GeneID	type_of_gene	Nomenclature_status	ncbi_current_symbol	annotation_method	GSE117606	GSE40362	GSE41657	GSE50114	GSE72820	GSE8671	n_platforms_present	all_six_platforms_present	protein_coding	objective_selection_eligible	eligibility_rule
ENC1	up	0.338967690856933	0.0056517300198782	1.0	0.144284012168646	0.56125453710556	8507	protein-coding	O	ENC1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
SLC17A1	down	-0.159785781038007	0.0056517300198782	1.0	-0.22362942956388	-0.107187680527568	6568	protein-coding	O	SLC17A1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
KIF3C	up	0.138361065037674	0.0056517300198782	1.0	0.0648982048034668	0.223744058981538	3797	protein-coding	O	KIF3C	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
DRD2	up	0.0589601905388743	0.0056517300198782	1.0	0.0299770373851061	0.0876223430037498	1813	protein-coding	O	DRD2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
ITGA9	up	0.175721032815147	0.0057471600767577	1.0	0.0753186101093888	0.281191925704479	3680	protein-coding	O	ITGA9	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
ETHE1	down	-0.499671104589575	0.0059949278398453	1.0	-0.729083766043186	-0.259525553882122	23474	protein-coding	O	ETHE1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
GDF15	up	0.396502331022853	0.0059949278398453	1.0	0.235349282622337	0.592505712807178	9518	protein-coding	O	GDF15	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
ATP5MG	down	-0.303007714895236	0.0059949278398453	1.0	-0.441804587841034	-0.155544988811016	10632	protein-coding	O	ATP5MG	current_ncbi_symbol	True	False	False	False	False	False	1	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
SLC7A5	up	0.30123764189625	0.0059949278398453	1.0	0.129347436502576	0.492662789672613	8140	protein-coding	O	SLC7A5	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
FAM162A	down	-0.341739893645181	0.0062780423055913	1.0	-0.509494069218636	-0.149293300136924	26355	protein-coding	O	FAM162A	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
RBKS	down	-0.118581100058449	0.0062780423055913	1.0	-0.16461980342865	-0.0793394722044468	64080	protein-coding	O	RBKS	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
