pair_step	up_gene	down_gene	training_correlation	held_out_donor
6	DPEP1	MYL6	0.99507674885671	HTA11_411
7	GDF15	B2M	0.995389649383737	HTA11_411
8	ZNF503	LGALS4	0.99587130574754	HTA11_411
9	SEMA3F	TPT1	0.996203480465739	HTA11_411
10	L1TD1	CAMK2N1	0.996531916059407	HTA11_411
11	LTBP1	CD9	0.997062335500364	HTA11_411
12	LRRC36	CHP2	0.997381977897556	HTA11_411
13	SLC6A6	NDRG1	0.997238735655984	HTA11_411
14	DAB2	UGT2A3	0.997494149715831	HTA11_411
15	TRIP6	HSPA1A	0.997421114973642	HTA11_411
16	CYP4X1	COX5A	0.99721732318425	HTA11_411
17	CPNE7	ETHE1	0.997162500311279	HTA11_411
18	LGR5	ACAA2	0.997174772414814	HTA11_411
19	APCDD1	CALM1	0.997203623488727	HTA11_411
20	SLC40A1	PCK1	0.997253641366589	HTA11_411
21	EPHB3	CALM2	0.997164841007698	HTA11_411
22	NKD1	BSG	0.997013464222607	HTA11_411
23	CLDN2	SRI	0.996877597309674	HTA11_411
24	RNF43	CA2	0.99661343294099	HTA11_411
25	ZNF703	FCGRT	0.996214644604837	HTA11_411
26	GRIN2B	PRDX6	0.995583994596144	HTA11_411
27	MSX2	C15orf48	0.994767910830298	HTA11_411
28	TBX3	PKIB	0.993789288684767	HTA11_411
29	OLFM4	ITM2C	0.99275776634026	HTA11_411
30	ENC1	FABP1	0.991437954233474	HTA11_411
1	ASCL2	LGALS3	0.961621160969895	HTA11_5212
2	AXIN2	B2M	0.9819379398215	HTA11_5212
3	SLC6A6	CHP2	0.987723367478396	HTA11_5212
4	LTBP1	CD9	0.992532465017059	HTA11_5212
5	SLC7A5	ETHE1	0.994684133194897	HTA11_5212
6	ZNF703	TPT1	0.995964653143924	HTA11_5212
7	TRIP6	COX6C	0.996425845295016	HTA11_5212
8	SEMA3F	LGALS4	0.997161863432564	HTA11_5212
9	SOX4	CAMK2N1	0.997329598250967	HTA11_5212
10	DPEP1	NDUFA1	0.997263914504411	HTA11_5212
11	L1TD1	UGT2A3	0.997452540377718	HTA11_5212
12	DAB2	LRRC19	0.99769546510943	HTA11_5212
13	ZNF503	MYL6	0.997788543870845	HTA11_5212
14	LRRC36	CYCS	0.998189486097623	HTA11_5212
15	CYP4X1	C15orf48	0.997976120176069	HTA11_5212
16	LGR5	SRI	0.99777636943417	HTA11_5212
17	CPNE7	COX5A	0.997534690834271	HTA11_5212
18	APCDD1	PCK1	0.997508514182807	HTA11_5212
19	SDC3	ACAA2	0.997510942629576	HTA11_5212
20	ENC1	CALM2	0.99734068824021	HTA11_5212
21	EPHB3	BSG	0.997257325281146	HTA11_5212
22	NKD1	CALM1	0.997119182115126	HTA11_5212
23	CLDN2	PRDX6	0.997009157973096	HTA11_5212
24	RNF43	ITM2C	0.996755941677192	HTA11_5212
25	GDF15	HSPA1A	0.996382662309798	HTA11_5212
26	GRIN2B	CA2	0.995874717962718	HTA11_5212
27	MSX2	NDRG1	0.995140197080263	HTA11_5212
28	TBX3	PKIB	0.994198424621157	HTA11_5212
