gene	module	module_color	module_numeric	strict_state_shared	programme_direction	discovery_common_z	heldout_common_z	heldout_common_fdr	kme_discovery_ABS	abs_kme_discovery_ABS	kme_heldout_ABS	abs_kme_heldout_ABS	kme_discovery_GOB	abs_kme_discovery_GOB	kme_heldout_GOB	abs_kme_heldout_GOB	kme_discovery_TAC	abs_kme_discovery_TAC	kme_heldout_TAC	abs_kme_heldout_TAC	module_size	bootstrap_abs_kme_ci_low_ABS	bootstrap_abs_kme_median_ABS	bootstrap_abs_kme_ci_high_ABS	bootstrap_abs_kme_ci_low_GOB	bootstrap_abs_kme_median_GOB	bootstrap_abs_kme_ci_high_GOB	bootstrap_abs_kme_ci_low_TAC	bootstrap_abs_kme_median_TAC	bootstrap_abs_kme_ci_high_TAC
FIBP	M02	blue	2	FALSE	not_shared	0.121823757086932	1.53007755294886	0.212686228345532	0.875072878783648	0.875072878783648	0.62010562079834	0.62010562079834	0.818287636304056	0.818287636304056	0.738944668554161	0.738944668554161	0.692631687616818	0.692631687616818	0.861866162496135	0.861866162496135	2184	0.801690559325905	0.921258844846635	0.967141687741372	0.61250800048437	0.845133746768418	0.967983583692595	0.443778503620714	0.723093454131325	0.909007317967937
IFT27	M02	blue	2	FALSE	not_shared	0.121698713971463	1.3108498184949	0.292804288818698	0.55497843691108	0.55497843691108	0.394666151228281	0.394666151228281	0.726733134784098	0.726733134784098	0.598402688555757	0.598402688555757	0.641790279312808	0.641790279312808	0.326465313406824	0.326465313406824	2184	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF678	M03	brown	3	FALSE	not_shared	0.121508729959916	NA	NA	0.830804973106813	0.830804973106813	0.596719344045446	0.596719344045446	0.767596302849746	0.767596302849746	0.660653033373647	0.660653033373647	0.637332409320035	0.637332409320035	0.696594450366149	0.696594450366149	993	0.615916842392213	0.820310315955214	0.931413932271272	0.492841436425149	0.75382371600044	0.897040121669402	0.404418509675301	0.66312126063641	0.846168194855761
PPP1R12B	M01	turquoise	1	FALSE	not_shared	-0.121268854371543	0.418223326193659	0.762964462125026	0.725972349650143	0.725972349650143	0.132106470929323	0.132106470929323	0.829183741804674	0.829183741804674	0.426721113210846	0.426721113210846	0.616979363643147	0.616979363643147	0.189534362297561	0.189534362297561	2186	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRCC	M02	blue	2	FALSE	not_shared	-0.121216512477986	1.95899343629381	0.101815518900334	0.634106027395959	0.634106027395959	0.498194533867017	0.498194533867017	0.210912829571214	0.210912829571214	0.502260877425447	0.502260877425447	0.181091663335151	0.181091663335151	0.402543197995358	0.402543197995358	2184	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM81A	M01	turquoise	1	FALSE	not_shared	-0.119991597057089	-0.0365976668978387	0.980591041206883	0.462009591557197	0.462009591557197	0.332088592569493	0.332088592569493	0.136534540934754	0.136534540934754	-0.174737374084781	0.174737374084781	0.395363364911485	0.395363364911485	0.66084800920843	0.66084800920843	2186	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP6AP1	M02	blue	2	FALSE	not_shared	-0.118998251251844	-1.20968918205977	0.33656980114766	0.879472189413929	0.879472189413929	0.576263827995464	0.576263827995464	0.700433528966112	0.700433528966112	0.600458526369609	0.600458526369609	0.837770380599829	0.837770380599829	0.794369981932295	0.794369981932295	2184	0.710858263410697	0.87527471425194	0.952306159371495	0.363755484299232	0.692147116747751	0.889978447455469	0.641504328997839	0.818921285166829	0.91356787235775
EXPH5	M01	turquoise	1	FALSE	not_shared	-0.118741191528789	-3.34339457651463	0.00340778240847969	0.81711391057139	0.81711391057139	0.5335616274097	0.5335616274097	0.719053309368296	0.719053309368296	0.283089448982404	0.283089448982404	0.871712712451867	0.871712712451867	0.668769318946121	0.668769318946121	2186	NA	NA	NA	NA	NA	NA	NA	NA	NA
DENR	M01	turquoise	1	FALSE	not_shared	0.116662907992696	-1.19287735599556	0.343249246646097	0.714494031008968	0.714494031008968	0.426958603330351	0.426958603330351	0.760660064899083	0.760660064899083	0.703113138139488	0.703113138139488	0.728759202474813	0.728759202474813	0.813559106795927	0.813559106795927	2186	NA	NA	NA	NA	NA	NA	NA	NA	NA
NDUFAF2	M01	turquoise	1	FALSE	not_shared	-0.115574210426376	1.38725981286903	0.262975986073654	0.685958706963161	0.685958706963161	0.104370822128204	0.104370822128204	0.559979401673984	0.559979401673984	0.494313403548477	0.494313403548477	0.573279915715438	0.573279915715438	0.208785469828279	0.208785469828279	2186	NA	NA	NA	NA	NA	NA	NA	NA	NA
PHKB	M01	turquoise	1	FALSE	not_shared	-0.115012039692706	-0.470043617005783	0.733237686988794	0.85760884774941	0.85760884774941	0.859211962874067	0.859211962874067	0.58033796112058	0.58033796112058	0.625966190647422	0.625966190647422	0.598334780295069	0.598334780295069	0.86355082990839	0.86355082990839	2186	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAPKAP1	M03	brown	3	FALSE	not_shared	-0.114055218129108	0.960516828629126	0.458095507985489	0.546716272416745	0.546716272416745	0.366729842645426	0.366729842645426	0.389823015025493	0.389823015025493	0.289850072906768	0.289850072906768	0.0859205927227634	0.0859205927227634	0.415999413580949	0.415999413580949	993	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNK5	M07	black	7	FALSE	not_shared	0.113375113930967	-4.8379926659033	1.41605752977163e-05	0.731924692497569	0.731924692497569	0.714547365840037	0.714547365840037	0.529522982474258	0.529522982474258	0.508855313511323	0.508855313511323	0.574894228262313	0.574894228262313	0.155189678111496	0.155189678111496	151	NA	NA	NA	NA	NA	NA	NA	NA	NA
