outcome	omitted_study	state	term	estimable	n_observations	n_donors	n_target_observations	n_target_donors	n_reference_observations	n_reference_donors	coef	se_cluster	ci_low	ci_high	p_value
score__ca_route_signature	James_2020_Nat_Immunol	polyp_epithelial	carrier_group_polyp_epithelial	True	668	396	89	89	192	192	0.4007404327752615	0.0527148816497687	0.2971036150906423	0.5043772504598807	2.1445046681792458e-13
score__ca_route_signature	James_2020_Nat_Immunol	polyp_cancer	carrier_group_polyp_cancer	True	668	396	82	82	192	192	0.7876403815823605	0.0674472052370789	0.6550399944861124	0.9202407686786086	2.8650759667148154e-27
score__ca_route_signature	James_2020_Nat_Immunol	tumor_epithelial	carrier_group_tumor_epithelial	True	668	396	33	33	192	192	0.6131526153862407	0.0373381276751734	0.539746309435178	0.6865589213373033	1.4485544555295123e-46
score__ca_route_signature	James_2020_Nat_Immunol	tumor_cancer	carrier_group_tumor_cancer	True	668	396	217	217	192	192	0.558144742132088	0.0335585121403117	0.4921691144609628	0.6241203698032132	1.841050337388646e-47
score__ca_route_signature	James_2020_Nat_Immunol	metastasis_epithelial	carrier_group_metastasis_epithelial	True	668	396	5	5	192	192	0.5564697479587487	0.114636367661517	0.3310960401261762	0.7818434557913212	1.7437341147044733e-06
score__ca_route_signature	James_2020_Nat_Immunol	metastasis_cancer	carrier_group_metastasis_cancer	True	668	396	50	50	192	192	0.5658163280557525	0.0734139079739556	0.4214854757783743	0.7101471803331307	1.0516012899141227e-13
score__ca_route_signature	Ji_2024_Cancer_Lett	polyp_epithelial	carrier_group_polyp_epithelial	True	662	396	89	89	192	192	0.4001738003542305	0.0527581502965415	0.2964519170350749	0.5038956836733862	2.404321368254675e-13
score__ca_route_signature	Ji_2024_Cancer_Lett	polyp_cancer	carrier_group_polyp_cancer	True	662	396	82	82	192	192	0.7871166881159013	0.0674466286071763	0.6545174346670448	0.9197159415647578	3.0636264783587446e-27
score__ca_route_signature	Ji_2024_Cancer_Lett	tumor_epithelial	carrier_group_tumor_epithelial	True	662	396	31	31	192	192	0.6146256529249037	0.0385044313588198	0.5389264080836424	0.6903248977661649	1.2849061080093217e-44
score__ca_route_signature	Ji_2024_Cancer_Lett	tumor_cancer	carrier_group_tumor_cancer	True	662	396	215	215	192	192	0.5595092569994023	0.033958229092099	0.492747790651202	0.6262707233476027	8.4695844954021085e-47
score__ca_route_signature	Ji_2024_Cancer_Lett	metastasis_epithelial	carrier_group_metastasis_epithelial	True	662	396	4	4	192	192	0.5503574804439509	0.1462833590214136	0.262766171600285	0.8379487892876168	0.0001938867566088
score__ca_route_signature	Ji_2024_Cancer_Lett	metastasis_cancer	carrier_group_metastasis_cancer	True	662	396	49	49	192	192	0.5618449425764833	0.0802537033281345	0.4040671356264058	0.7196227495265608	1.0989199282411346e-11
score__ca_route_signature	Ji_2024_PLoS_Genet	polyp_epithelial	carrier_group_polyp_epithelial	True	667	395	89	89	194	194	0.4003560177075103	0.0527586605805104	0.2966323221073485	0.5040797133076722	2.361048151267131e-13
score__ca_route_signature	Ji_2024_PLoS_Genet	polyp_cancer	carrier_group_polyp_cancer	True	667	395	82	82	194	194	0.7873287098351224	0.0674512441979487	0.6547193478069909	0.9199380718632538	3.063038092516809e-27
score__ca_route_signature	Ji_2024_PLoS_Genet	tumor_epithelial	carrier_group_tumor_epithelial	True	667	395	33	33	194	194	0.6130444137093476	0.0373472245053184	0.5396196507703968	0.6864691766482984	1.6421545772349295e-46
score__ca_route_signature	Ji_2024_PLoS_Genet	tumor_cancer	carrier_group_tumor_cancer	True	667	395	214	214	194	194	0.5591592870143823	0.0336534274224075	0.4929965409655673	0.6253220330631973	2.304333027712101e-47
score__ca_route_signature	Ji_2024_PLoS_Genet	metastasis_epithelial	carrier_group_metastasis_epithelial	True	667	395	5	5	194	194	0.5556166106743642	0.1142147881311919	0.3310699715670582	0.7801632497816702	1.6605482871439352e-06
score__ca_route_signature	Ji_2024_PLoS_Genet	metastasis_cancer	carrier_group_metastasis_cancer	True	667	395	50	50	194	194	0.5653254888835771	0.0732936698481675	0.4212298993234729	0.7094210784436814	1.0147970457531105e-13
score__ca_route_signature	Joanito_2022_Nat_Genet	polyp_epithelial	carrier_group_polyp_epithelial	True	646	375	89	89	193	193	0.3995411661465728	0.0527999144449241	0.2957192590997928	0.5033630731933528	2.999468627677614e-13
score__ca_route_signature	Joanito_2022_Nat_Genet	polyp_cancer	carrier_group_polyp_cancer	True	646	375	82	82	193	193	0.7864106034109658	0.0675090380962791	0.6536657466866154	0.9191554601353162	5.739263189711511e-27
score__ca_route_signature	Joanito_2022_Nat_Genet	tumor_epithelial	carrier_group_tumor_epithelial	True	646	375	33	33	193	193	0.6122590171106824	0.0374632286008354	0.5385940523402306	0.6859239818811342	1.088164511640433e-45
score__ca_route_signature	Joanito_2022_Nat_Genet	tumor_cancer	carrier_group_tumor_cancer	True	646	375	194	194	193	193	0.5528930947449252	0.0343141563523558	0.485420236338704	0.6203659531511464	9.828565983000088e-45
score__ca_route_signature	Joanito_2022_Nat_Genet	metastasis_epithelial	carrier_group_metastasis_epithelial	True	646	375	5	5	193	193	0.5547089690054591	0.1150117633467749	0.3285582123421965	0.7808597256687215	2.0611524132567284e-06
score__ca_route_signature	Joanito_2022_Nat_Genet	metastasis_cancer	carrier_group_metastasis_cancer	True	646	375	50	50	193	193	0.5616470380778029	0.0737745198281706	0.4165821943078244	0.7067118818477814	2.206093594912123e-13
score__ca_route_signature	Khaliq_2022_Genome_Biol	polyp_epithelial	carrier_group_polyp_epithelial	True	658	388	89	89	189	189	0.4018011659200381	0.0526210032685919	0.2983423392020707	0.5052599926380055	1.7743314533914078e-13
score__ca_route_signature	Khaliq_2022_Genome_Biol	polyp_cancer	carrier_group_polyp_cancer	True	658	388	82	82	189	189	0.7887896951565128	0.067343761083309	0.6563842662274741	0.9211951240855514	2.491874944188965e-27
score__ca_route_signature	Khaliq_2022_Genome_Biol	tumor_epithelial	carrier_group_tumor_epithelial	True	658	388	33	33	189	189	0.6215612139972388	0.0377023239992839	0.5474341931649553	0.6956882348295224	1.2392684694121254e-46
score__ca_route_signature	Khaliq_2022_Genome_Biol	tumor_cancer	carrier_group_tumor_cancer	True	658	388	210	210	189	189	0.5725640922373769	0.0344661342649876	0.5047997853814509	0.640328399093303	3.6264230104499537e-47
score__ca_route_signature	Khaliq_2022_Genome_Biol	metastasis_epithelial	carrier_group_metastasis_epithelial	True	658	388	5	5	189	189	0.5663931603905921	0.1142798100328031	0.3417061660511477	0.7910801547300365	1.0770660779021647e-06
score__ca_route_signature	Khaliq_2022_Genome_Biol	metastasis_cancer	carrier_group_metastasis_cancer	True	658	388	50	50	189	189	0.5759637038224025	0.0735430185335105	0.4313698356299247	0.7205575720148802	4.676905834331136e-14
score__ca_route_signature	Kong_2023_Immunity	polyp_epithelial	carrier_group_polyp_epithelial	True	666	394	89	89	190	190	0.3998936954946883	0.0527811376192069	0.2961249964192511	0.5036623945701255	2.571191558956017e-13
score__ca_route_signature	Kong_2023_Immunity	polyp_cancer	carrier_group_polyp_cancer	True	666	394	82	82	190	190	0.7868478755559386	0.0674416207547835	0.6542563937323976	0.9194393573794796	3.278846918215839e-27
score__ca_route_signature	Kong_2023_Immunity	tumor_epithelial	carrier_group_tumor_epithelial	True	666	394	33	33	190	190	0.6135962447263468	0.0373458373563778	0.5401736332943421	0.6870188561583515	1.4973815710352938e-46
score__ca_route_signature	Kong_2023_Immunity	tumor_cancer	carrier_group_tumor_cancer	True	666	394	217	217	190	190	0.5578585089955146	0.0335705532466866	0.4918581763997332	0.6238588415912959	2.393374197026614e-47
score__ca_route_signature	Kong_2023_Immunity	metastasis_epithelial	carrier_group_metastasis_epithelial	True	666	394	5	5	190	190	0.5560057506494226	0.1143109954209855	0.3312682057629817	0.7807432955358635	1.6675319567624402e-06
score__ca_route_signature	Kong_2023_Immunity	metastasis_cancer	carrier_group_metastasis_cancer	True	666	394	50	50	190	190	0.5643583438639879	0.0734716474693744	0.4199117172711623	0.7088049704568135	1.266272345968263e-13
score__ca_route_signature	Lee_2020_Nat_Genet	polyp_epithelial	carrier_group_polyp_epithelial	True	635	373	89	89	186	186	0.4006783327371834	0.0527849757530027	0.2968839884477297	0.504472677026637	2.586781815440373e-13
score__ca_route_signature	Lee_2020_Nat_Genet	polyp_cancer	carrier_group_polyp_cancer	True	635	373	82	82	186	186	0.7877596845629034	0.0674070518848566	0.6552130526649835	0.9203063164608232	4.339436540142626e-27
score__ca_route_signature	Lee_2020_Nat_Genet	tumor_epithelial	carrier_group_tumor_epithelial	True	635	373	31	31	186	186	0.6240699884303035	0.0387904231361245	0.5477939936668603	0.7003459831937466	1.3971344050896836e-44
score__ca_route_signature	Lee_2020_Nat_Genet	tumor_cancer	carrier_group_tumor_cancer	True	635	373	192	192	186	186	0.5725669112236986	0.0345501901151606	0.5046287474389959	0.6405050750084014	1.3787401312952255e-46
score__ca_route_signature	Lee_2020_Nat_Genet	metastasis_epithelial	carrier_group_metastasis_epithelial	True	635	373	5	5	186	186	0.5657148567933735	0.1139777604015271	0.3415933764726405	0.7898363371141065	1.0567508622451888e-06
score__ca_route_signature	Lee_2020_Nat_Genet	metastasis_cancer	carrier_group_metastasis_cancer	True	635	373	50	50	186	186	0.5740677444233319	0.0737274694468117	0.4290928867448713	0.7190426021017924	6.919220639687405e-14
score__ca_route_signature	Li_2023_Cancer_Cell	polyp_epithelial	carrier_group_polyp_epithelial	True	641	381	89	89	187	187	0.4021619619847818	0.0528736725500715	0.2982003513310552	0.5061235726385085	2.242151208074457e-13
score__ca_route_signature	Li_2023_Cancer_Cell	polyp_cancer	carrier_group_polyp_cancer	True	641	381	82	82	187	187	0.7893425841044991	0.0674721236815928	0.656677113486337	0.9220080547226612	3.2729899323065846e-27
score__ca_route_signature	Li_2023_Cancer_Cell	tumor_epithelial	carrier_group_tumor_epithelial	True	641	381	28	28	187	187	0.6242742135056828	0.0411013802048731	0.5434595948097088	0.7050888322016567	4.71597244395401e-41
score__ca_route_signature	Li_2023_Cancer_Cell	tumor_cancer	carrier_group_tumor_cancer	True	641	381	200	200	187	187	0.5780555371622713	0.0351029426255521	0.509035204773183	0.6470758695513597	2.2726429916172717e-46
score__ca_route_signature	Li_2023_Cancer_Cell	metastasis_epithelial	carrier_group_metastasis_epithelial	True	641	381	5	5	187	187	0.5646364533672142	0.1135383612448549	0.3413943304596045	0.7878785762748239	9.99664189520412e-07
score__ca_route_signature	Li_2023_Cancer_Cell	metastasis_cancer	carrier_group_metastasis_cancer	True	641	381	50	50	187	187	0.5776309982615359	0.0733140017327716	0.4334790728133624	0.7217829237097093	3.5133383837829914e-14
score__ca_route_signature	Liu_2024_Cancer_Res	polyp_epithelial	carrier_group_polyp_epithelial	True	640	384	89	89	190	190	0.4026737651559128	0.0524808250201499	0.2994871640287387	0.505860366283087	1.40953352338487e-13
score__ca_route_signature	Liu_2024_Cancer_Res	polyp_cancer	carrier_group_polyp_cancer	True	640	384	82	82	190	190	0.7886740184698431	0.067527488578929	0.655903010650541	0.9214450262891452	3.63282013026718e-27
score__ca_route_signature	Liu_2024_Cancer_Res	tumor_epithelial	carrier_group_tumor_epithelial	True	640	384	33	33	190	190	0.6140047250063185	0.0376164591085425	0.5400441010954038	0.6879653489172333	7.659365451643591e-46
score__ca_route_signature	Liu_2024_Cancer_Res	tumor_cancer	carrier_group_tumor_cancer	True	640	384	204	204	190	190	0.5374274537162073	0.0345272507617271	0.4695407607955007	0.6053141466369139	1.118408953829965e-42
