donor_id	carrier_group	sample_type	cell_type_coarse_crc_atlas	study_id	microsatellite_status	CMS_type	n_cells_sampled	score__ca_route_up	score__ca_route_down	score__ca_route_signature	score__ca_route_n_up_present	score__ca_route_n_down_present	score__wnt_stem	score__wnt_core_ihc	score__proliferation_control
Chen_2021_Cell.HTA11_13701	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	485	-0.2529439511580285	0.6215405149546335	-0.8721458933483177	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_13708	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	416	-0.2117691684332773	0.166935573066492	-0.3820813997642058	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_13708	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	163	-0.1982234342493294	0.1130006708810505	-0.2698912623352182	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_13794	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	16	-0.1488528924769833	-0.4245598051866813	0.3413349136963792	49.0	49.0	-0.1311364826064527	-0.0364512286078196	-0.2884547048206696
Chen_2021_Cell.HTA11_13794	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	72	-0.2106168869587807	-0.1538830163586141	-0.0574278046520584	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_1391	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	319	0.8723824374369349	-0.1654323895754471	1.1035847464087054	49.0	49.0	0.9352511101006834	1.6112035982630255	-0.1081995147270678
Chen_2021_Cell.HTA11_1391	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	151	0.6101903364894226	-0.1469562973967022	0.7594916100959404	49.0	49.0	0.5785858978148377	1.4574776128600584	0.1082984004940361
Chen_2021_Cell.HTA11_14015	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	83	-0.1784069501220316	-0.1826117339149555	-0.0128192756659256	49.0	49.0	-0.2792916472437478	-0.3915296007251553	-0.2884547048206696
Chen_2021_Cell.HTA11_14015	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	25	-0.1286762316396044	-0.3117106018194749	0.1679211686472109	49.0	49.0	-0.2463244959425683	-0.1539870976948524	-0.0702691659508095
Chen_2021_Cell.HTA11_14651	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	27	-0.0224979146543569	-0.2615550568525863	0.309980075257563	49.0	49.0	0.2968309081315829	0.3856854156871654	-0.2884547048206696
Chen_2021_Cell.HTA11_14651	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	111	-0.1670546208195261	0.2044819111382239	-0.2791395525173369	49.0	49.0	-0.3237424231938615	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_1938	normal_epithelial	normal	Epithelial cell	Chen_2021_Cell	missing	missing	7	-0.0522245806130439	0.3339432265015135	-0.4216000752549588	49.0	49.0	-0.0352401718215091	-0.093017449354289	0.1971943909634161
Chen_2021_Cell.HTA11_1938	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	338	0.1996851583193463	-0.1862518921298571	0.3965889457347564	49.0	49.0	0.2602896772637194	0.57853060818072	-0.1971162983503184
Chen_2021_Cell.HTA11_1938	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	66	0.0272127898262487	-0.2354207272726285	0.2275079254797712	49.0	49.0	0.1009578172600925	0.268916433424435	-0.2545210849886508
Chen_2021_Cell.HTA11_2112	normal_epithelial	normal	Epithelial cell	Chen_2021_Cell	missing	missing	11	-0.2620452127562259	0.7464307401705355	-1.0244588826561638	49.0	49.0	-0.2954470757648869	-0.4137217936073689	-0.1837311502417678
Chen_2021_Cell.HTA11_2112	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	132	-0.2290983853598621	0.1890619470775391	-0.3998778063441077	49.0	49.0	-0.4015233514613761	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_2112	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	209	-0.2427392670341856	-0.1071868975940879	-0.1256669002344552	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_2235	normal_epithelial	normal	Epithelial cell	Chen_2021_Cell	missing	missing	19	-0.0641463828065609	-0.0476978416908291	-0.0302110330740374	49.0	49.0	-0.1259049209526658	0.0186375625661563	-0.2884547048206696
Chen_2021_Cell.HTA11_2235	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	49	0.629750875247713	-0.3052708127807637	0.8751645006976273	49.0	49.0	0.6309287703926899	0.944090957812018	-0.0787660344961994
Chen_2021_Cell.HTA11_2235	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	21	0.1235569848362739	-0.0571751402173597	0.2164408750659037	49.0	49.0	-0.0223037619818301	0.2844935616682288	-0.0036922513214029
Chen_2021_Cell.HTA11_2334	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	163	0.4213287143028129	-0.3107692097997557	0.7673172948242573	49.0	49.0	0.5489089746804005	0.4674728364993393	-0.2884547048206696
Chen_2021_Cell.HTA11_2334	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	417	-0.1562472404402503	-0.0201578019016941	-0.1398215669577102	49.0	49.0	-0.3357646402701444	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_2487	normal_epithelial	normal	Epithelial cell	Chen_2021_Cell	missing	missing	16	-0.2029884846895552	0.1167484340420498	-0.3000745748998631	49.0	49.0	-0.1927206214170896	-0.0587211408594493	-0.2884547048206696
Chen_2021_Cell.HTA11_2487	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	667	-0.1885581483214198	0.2126906636046041	-0.4027606976310942	49.0	49.0	-0.3385951094894045	-0.3834971699733738	-0.2884547048206696
Chen_2021_Cell.HTA11_2487	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	142	-0.2074289593508345	-0.0110787145825123	-0.2078518137211625	49.0	49.0	-0.3173445657224578	-0.3844973939689715	-0.2884547048206696
