analysis	outcome	term	n_observations	n_clusters	cluster_unit	coef	se_cluster	ci_low	ci_high	p_value	r_squared	q_value_within_outcome
CRC Atlas donor-carrier transfer	wnt_stem	study_id_He_2020_Genome_Biol	670	398	donor_id	-0.1285478748598103	0.0470450700011296	-0.2210364796777504	-0.0360592700418702	0.0065675119812107	0.4381256108967351	0.0109458533020178
CRC Atlas donor-carrier transfer	wnt_stem	study_id_James_2020_Nat_Immunol	670	398	donor_id	-0.2702819789649407	0.0469564596019464	-0.3625963795104114	-0.1779675784194701	1.725018241539534e-08	0.4381256108967351	1.3800145932316273e-07
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Ji_2024_Cancer_Lett	670	398	donor_id	-0.3393407786869043	0.054015517159976	-0.4455329858730286	-0.23314857150078	8.776841026788624e-10	0.4381256108967351	8.776841026788625e-09
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Ji_2024_PLoS_Genet	670	398	donor_id	-0.3386245462771233	0.099840528779137	-0.5349067754426032	-0.1423423171116433	0.0007644696340331	0.4381256108967351	0.0016988214089625
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Joanito_2022_Nat_Genet	670	398	donor_id	0.0161069978451604	0.0797950555504832	-0.1407666843293374	0.1729806800196583	0.8401337980913008	0.4381256108967351	0.8482946759223331
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Khaliq_2022_Genome_Biol	670	398	donor_id	-0.1687777677831419	0.0672927280606531	-0.3010724063621346	-0.0364831292041493	0.0125358059378687	0.4381256108967351	0.0192858552890287
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Kong_2023_Immunity	670	398	donor_id	-0.2094237101192756	0.0713795338867133	-0.3497528349686692	-0.069094585269882	0.0035410474029626	0.4381256108967351	0.0064382680053867
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Lee_2020_Nat_Genet	670	398	donor_id	-0.2094111952196211	0.0588312677291632	-0.3250709630084746	-0.0937514274307677	0.0004165268292231	0.4381256108967351	0.0009800631275837
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Li_2023_Cancer_Cell	670	398	donor_id	-0.1111968765225915	0.0620971679259837	-0.2332772650623825	0.0108835120171994	0.0741045687241481	0.4381256108967351	0.0956187983537394
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Liu_2024_Cancer_Res	670	398	donor_id	0.1744016808329213	0.0787843707137225	0.0195149620205865	0.329288399645256	0.0274200901489205	0.4381256108967351	0.037820813998511
CRC Atlas donor-carrier transfer	wnt_stem	study_id_MUI_Innsbruck	670	398	donor_id	0.1052033884255152	0.0848198924350027	-0.0615489091464254	0.271955685997456	0.2155914281302884	0.4381256108967351	0.2694892851628606
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Parikh_2019_Nature	670	398	donor_id	-0.2686402528620738	0.0470781894704455	-0.3611939691467257	-0.1760865365774219	2.2618011889808076e-08	0.4381256108967351	1.468251850583782e-07
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Pelka_2021_Cell	670	398	donor_id	-0.2759874224088781	0.0512583286640015	-0.3767591143910368	-0.1752157304267194	1.247821501618885e-07	0.4381256108967351	4.99128600647554e-07
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Qi_2022_Nat_Commun	670	398	donor_id	-0.3011489279640403	0.0958837381733831	-0.489652275247229	-0.1126455806808516	0.001811220874105	0.4381256108967351	0.0036224417482101
