gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	selected
LAMA5-AS1	3.1664968e-08	2.9051678e-08	-3.032075968079084e-09	7.127918042471037e-08	0.96	0.08	-0.0046552853	0.2557965651390075	False	False	False	3.1664968e-08	False
UMODL1-AS1	3.0267984e-08	2.9143365e-08	3.821440980322777e-09	5.5277696642264125e-08	0.981	0.038	-0.005196702	0.1554033980582524	False	True	False	3.0267984e-08	False
ENSG00000233293	-2.9802322e-08	-3.029843e-08	-5.9131792440325634e-08	-2.0497942621045073e-09	0.979	0.042	-0.0053375703	0.1667824652368607	True	True	False	2.9802322e-08	False
RN7SL44P	2.6542693e-08	2.7039148e-08	-6.2161585434594714e-09	5.9326524848302107e-08	0.935	0.13	-0.005541949	0.3492299107142857	False	False	False	2.6542693e-08	False
ENSG00000278013	2.561137e-08	2.3999826e-08	-2.3622057587768807e-09	5.97003239732885e-08	0.957	0.086	-0.0054896423	0.2679637540453074	True	False	False	2.561137e-08	False
ENSG00000279061	2.188608e-08	2.2071355e-08	1.5307353995464015e-09	4.0820225155613346e-08	0.98	0.04	-0.0048142085	0.1612730318257956	True	True	False	2.188608e-08	False
ACTL7A	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	False	True	False	2.0954758e-08	False
ADGRD1-AS1	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	False	True	False	2.0954758e-08	False
ARHGEF7-AS2	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	False	True	False	2.0954758e-08	False
BGLT3	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	False	True	False	2.0954758e-08	False
CACNA2D1-AS1	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	False	True	False	2.0954758e-08	False
CD27	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	False	True	False	2.0954758e-08	False
CDY2A	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	False	True	False	2.0954758e-08	False
CHL1-AS2	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	False	True	False	2.0954758e-08	False
CLASP1-AS1	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	False	True	False	2.0954758e-08	False
COL4A2-AS2	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	False	True	False	2.0954758e-08	False
DHRS7C	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	False	True	False	2.0954758e-08	False
DSCAM-IT1	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	False	True	False	2.0954758e-08	False
ENOX1-AS2	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	False	True	False	2.0954758e-08	False
ENSG00000179028	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000215692	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000223432	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000223754	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000224972	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000225106	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000225488	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000225752	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000225929	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000226679	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000227033	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000227215	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000227407	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000227554	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000227723	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000227851	-2.0954758e-08	-2.1125764e-08	-3.990414016996624e-08	5.798582836113913e-10	0.972	0.056	-0.005536976	0.2034376886589047	True	False	False	2.0954758e-08	False
