gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	selected	logFC	AveExpr	t	P.Value	adj.P.Val	B	limma_direction_match	limma_fdr_pass	bootstrap_stability_pass	stable_core	arm	core	selected12
OR52H1	0.009334115	0.008944296	-0.0103879254544154	0.0348552257753909	0.76	0.48	0.0019207533	0.742382963098953	FALSE	FALSE	FALSE	0.009334115	FALSE	0.00898589754059476	0.0019207540972973	0.819385907057694	0.417612174560326	0.721372933050779	-5.98822956451622	TRUE	FALSE	FALSE	FALSE	up	FALSE	FALSE
NRK	-0.012913516	-0.013917116	-0.0410221053287387	0.0138597417157143	0.832	0.336	0.0035600238	0.608247542304593	FALSE	FALSE	FALSE	0.012913516	FALSE	-0.0133076896731882	0.00356002391216216	-0.818818048968687	0.417932189971338	0.721518886434035	-5.98868342368589	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
AHRR	0.011536537	0.010023473	-0.0151917535811663	0.038837300799787	0.769	0.462	0.0070471987	0.727804964704782	FALSE	FALSE	FALSE	0.011536537	FALSE	0.0111790459868583	0.00704719721081081	0.818958279323283	0.417853149449235	0.721518886434035	-5.98857137314416	TRUE	FALSE	FALSE	FALSE	up	FALSE	FALSE
LPCAT3	0.012798436	0.013443675	-0.0200358849484473	0.0445724011398852	0.803	0.394	0.0016190484	0.666215665612926	FALSE	FALSE	FALSE	0.012798436	FALSE	0.0135827628894284	0.00161904927027027	0.817627836125454	0.418603419213596	0.722474126625832	-5.98963371352666	TRUE	FALSE	FALSE	FALSE	up	FALSE	FALSE
SMIM19	-0.024877312	-0.024877304	-0.0849166663363576	0.0371869669295847	0.784	0.432	0.00293443	0.702075524475524	FALSE	FALSE	FALSE	0.024877312	FALSE	-0.0285898479804659	0.00293443103513514	-0.816716099376866	0.41920210391239	0.722693103734163	-5.9902696010908	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
IQCA1	-0.021766342	-0.021634035	-0.0693557675927877	0.0180771263316274	0.859	0.282	0.0019371035	0.552169436374201	FALSE	FALSE	FALSE	0.021766342	FALSE	-0.0227620440342617	0.00193710195810811	-0.816788317784732	0.41912466630061	0.722693103734163	-5.99025179776589	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
LINC02232	-0.017477253	-0.017488513	-0.0627006677910686	0.0173639674205333	0.814	0.372	0.004169126	0.64473877488042	FALSE	FALSE	FALSE	0.017477253	FALSE	-0.0190067412880447	0.00416912615486487	-0.817168335415364	0.418862734352877	0.722693103734163	-5.99000023131561	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
GPRACR	0.013649257	0.014058274	-0.0124118111561984	0.0430902955122292	0.843	0.314	0.001321343	0.586832233375853	FALSE	FALSE	FALSE	0.013649257	FALSE	0.0116887913203292	0.00132134259189189	0.816951099845908	0.418985363507655	0.722693103734163	-5.99017343866875	TRUE	FALSE	FALSE	FALSE	up	FALSE	FALSE
KLF1	-0.014161959	-0.013895328	-0.0504277843050659	0.0186089222785085	0.782	0.436	0.0070359586	0.705243027888446	FALSE	FALSE	FALSE	0.014161959	FALSE	-0.0177344084603651	0.00703595690540541	-0.816310765175262	0.419346959175257	0.722739470848607	-5.99068373500859	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
KRT6A	0.012997477	0.013052149	-0.0125260035507381	0.0435049085877836	0.838	0.324	0.003635206	0.596783383438098	FALSE	FALSE	FALSE	0.012997477	FALSE	0.0113428418923956	0.00363520487837838	0.815739840223791	0.419669520108545	0.723091999354628	-5.99113839169563	TRUE	FALSE	FALSE	FALSE	up	FALSE	FALSE
