group_id	donor_id	carrier_group	study_id	n_cells_sampled	M02	M03	M04	M05	M06	M09	M10
Li_2023_Cancer_Cell.P21__tumor_epithelial	Li_2023_Cancer_Cell.P21	tumor_epithelial	Li_2023_Cancer_Cell	6	-0.16803471555268903	0.13199499652087043	0.08766069063842734	-0.26584490284046414	-0.1407713524001973	-0.14482207012625498	-0.2819739094485781
Li_2023_Cancer_Cell.P21__tumor_cancer	Li_2023_Cancer_Cell.P21	tumor_cancer	Li_2023_Cancer_Cell	68	-0.02958548838306637	-0.11620676413507179	-0.008298901498130732	-0.13656862327625435	-0.1588098693393355	-0.2068587490241262	-0.12864192846219333
Li_2023_Cancer_Cell.P23__tumor_cancer	Li_2023_Cancer_Cell.P23	tumor_cancer	Li_2023_Cancer_Cell	198	-0.16121913246024908	-0.2490213892135475	0.013478424433064812	-0.26985116227905287	-0.3058585899150737	-0.29332084404511194	-0.2870142161694671
Li_2023_Cancer_Cell.P24__tumor_cancer	Li_2023_Cancer_Cell.P24	tumor_cancer	Li_2023_Cancer_Cell	142	-0.00099191768570972	-0.11565264646395983	-0.18854498504251227	-0.3580330677310439	-0.17582112991885301	-0.37381070872854805	-0.4301285311508734
Li_2023_Cancer_Cell.P24__tumor_epithelial	Li_2023_Cancer_Cell.P24	tumor_epithelial	Li_2023_Cancer_Cell	93	-0.25921100487338394	-0.1281585144473601	0.24449779900678417	-0.004793615308230884	-0.17506976011472816	0.13885971210923911	0.02007739633035334
Li_2023_Cancer_Cell.P25__tumor_cancer	Li_2023_Cancer_Cell.P25	tumor_cancer	Li_2023_Cancer_Cell	148	-0.05565892418119614	-0.10985590363637053	-0.17319044703425218	-0.4180796936684864	-0.21220051495291836	-0.5404708806000718	-0.3256549302407948
Li_2023_Cancer_Cell.P25__tumor_epithelial	Li_2023_Cancer_Cell.P25	tumor_epithelial	Li_2023_Cancer_Cell	58	-0.1382468089595737	-0.1271612868128992	0.10526649431825619	-0.026702387604058273	-0.19709482476571394	-0.041287826302192396	-0.07179117655196084
Li_2023_Cancer_Cell.P25__normal_epithelial	Li_2023_Cancer_Cell.P25	normal_epithelial	Li_2023_Cancer_Cell	25	-0.14341032945127474	-0.13125327707885467	-0.025069832414178112	-0.1224533573160488	-0.16776364783170827	-0.11597140911141408	-0.12360448948544904
Li_2023_Cancer_Cell.P26__tumor_cancer	Li_2023_Cancer_Cell.P26	tumor_cancer	Li_2023_Cancer_Cell	76	0.09168777439286512	-0.12621786408234784	-0.2168920106996015	-0.38265231092147384	-0.08848779003738444	-0.5174115378799875	-0.3042880845630593
Li_2023_Cancer_Cell.P26__tumor_epithelial	Li_2023_Cancer_Cell.P26	tumor_epithelial	Li_2023_Cancer_Cell	3	-0.15431861849785944	0.013991674809897171	0.1569207018994494	-0.3377200502194702	-0.10037656553932299	-0.21153110446979967	-0.08280620766045331
Li_2023_Cancer_Cell.P27__tumor_cancer	Li_2023_Cancer_Cell.P27	tumor_cancer	Li_2023_Cancer_Cell	198	0.0027709164021558867	-0.22933933871981102	-0.19774938201422043	-0.31220950052687557	-0.2381252500748187	-0.2737629877093538	-0.42708773545116574
Li_2023_Cancer_Cell.P27__tumor_epithelial	Li_2023_Cancer_Cell.P27	tumor_epithelial	Li_2023_Cancer_Cell	71	-0.15062271052863246	-0.1898521940336135	0.16517630278525836	0.05337516082469465	-0.21577742262460742	0.09018421272523451	-0.07567502367244533
Li_2023_Cancer_Cell.P27__normal_epithelial	Li_2023_Cancer_Cell.P27	normal_epithelial	Li_2023_Cancer_Cell	50	-0.07493554476654286	-0.3105992258944461	0.06918859378258864	0.13059491285184915	-0.2815384050140351	0.005794911516942578	0.09509861322812337
Li_2023_Cancer_Cell.P28__tumor_epithelial	Li_2023_Cancer_Cell.P28	tumor_epithelial	Li_2023_Cancer_Cell	75	-0.19462006094029388	-0.04623179376761617	0.11975187566220433	-0.16261635439836775	-0.1628463522623757	-0.019252663002287104	-0.2211866177718833
Li_2023_Cancer_Cell.P28__tumor_cancer	Li_2023_Cancer_Cell.P28	tumor_cancer	Li_2023_Cancer_Cell	104	-0.04013315307806763	-0.11821596971678065	-0.12603262898065937	-0.3867645439338723	-0.20301395215642382	-0.4386030883729769	-0.4282232767205224
Li_2023_Cancer_Cell.P28__normal_epithelial	Li_2023_Cancer_Cell.P28	normal_epithelial	Li_2023_Cancer_Cell	24	0.08168559185435485	-0.17301289623792304	-0.22047325678277177	-0.22633628965159852	-0.11581587691769712	-0.24045322852145246	-0.19792425432401972
Li_2023_Cancer_Cell.P29__tumor_cancer	Li_2023_Cancer_Cell.P29	tumor_cancer	Li_2023_Cancer_Cell	34	-0.010742607097297711	-0.19023939928217004	0.17904853461148137	0.19662524089589004	-0.12046523298890727	-0.013071887188087276	0.205715198625588
Li_2023_Cancer_Cell.P29__tumor_epithelial	Li_2023_Cancer_Cell.P29	tumor_epithelial	Li_2023_Cancer_Cell	6	-0.3587754864045471	-0.11216558801441628	0.5615450010374788	0.3691073173275638	-0.16107688619100835	0.33962502920863924	0.3931255934397229
Li_2023_Cancer_Cell.P29__normal_epithelial	Li_2023_Cancer_Cell.P29	normal_epithelial	Li_2023_Cancer_Cell	16	0.021402855750474126	-0.10636975609622956	0.026047823257703266	0.006697177264080623	-0.1403642201087404	-0.19286405172310334	-0.029549854338169486
