partition	k	scope	decomposition_type	component	estimate	ci_low	ci_high	n_donors	n_normal_donors	n_adenoma_donors
validation	5	ABS	fine_state	total	0.105826357417742	0.0687599162208659	0.137813404178143	23	18	12
validation	5	ABS	fine_state	composition	0.0143776041522676	0.00432408508550479	0.0248780362318097	23	18	12
validation	5	ABS	fine_state	within	0.0914487532654741	0.058079951622476	0.121234366640949	23	18	12
validation	5	ABS	fine_state	reconstruction_error	-1.38777878078145e-17	-1.38777878078145e-17	1.38777878078145e-17	23	18	12
validation	5	GOB	fine_state	total	0.067704835858073	0.0443911431819078	0.0911768744844517	23	18	12
validation	5	GOB	fine_state	composition	0.00917352820032832	0.000975665382254032	0.0161130435176425	23	18	12
validation	5	GOB	fine_state	within	0.0585313076577447	0.0391973895314441	0.0790168367672681	23	18	12
validation	5	GOB	fine_state	reconstruction_error	0	-2.08166817117217e-17	2.08166817117217e-17	23	18	12
validation	5	TAC	fine_state	total	0.0853669900538584	0.0460809928889911	0.120471923627524	23	18	12
validation	5	TAC	fine_state	composition	0.0121315153018054	-0.00216665352246753	0.0279040896723116	23	18	12
validation	5	TAC	fine_state	within	0.073235474752053	0.0391811122131383	0.105904130691054	23	18	12
validation	5	TAC	fine_state	reconstruction_error	1.38777878078145e-17	-1.38777878078145e-17	2.08166817117217e-17	23	18	12
validation	NA	all	broad_state	total	0.0999115353220597	0.0624404553968502	0.133236146395241	23	18	12
validation	NA	all	broad_state	composition	0.011244168118992	0.00359386175193534	0.0192209891988206	23	18	12
validation	NA	all	broad_state	within	0.0886673672030676	0.052856895544554	0.122731371222551	23	18	12
validation	NA	all	broad_state	reconstruction_error	0	-2.77555756156289e-17	2.77555756156289e-17	23	18	12
