gene	arm	common_effect	common_z	common_q_value	max_lfsr	GeneID	type_of_gene	Nomenclature_status	ncbi_current_symbol	annotation_method	GSE117606	GSE40362	GSE41657	GSE50114	GSE72820	GSE8671	n_platforms_present	all_six_platforms_present	protein_coding	objective_selection_eligible	eligibility_rule
SLC36A1	down	-0.398789435389548	-4.21895277295004	0.000188223838884	0.0333109507072962	206358	protein-coding	O	SLC36A1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
FAM118A	up	0.588479444906218	4.21688291411447	0.0001897633426469	0.0026386695306305	55007	protein-coding	O	SIRAL2	unique_ncbi_synonym	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ACOT2	down	-0.360708704754175	-4.21655111877431	0.0001897633426469	0.0064137421410611	10965	protein-coding	O	ACOT2	current_ncbi_symbol	False	True	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GLOD4	down	-0.450713542916761	-4.21421545758361	0.0001913148747912	0.0062384383072089	51031	protein-coding	O	GLOD4	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
COMMD2	down	-0.357689899751266	-4.21401860786013	0.0001913148747912	0.003010753568199	51122	protein-coding	O	COMMD2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
RANBP17	up	0.392826387297751	4.21184189232528	0.00019298916857	0.0118274140467216	64901	protein-coding	O	RANBP17	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
FGD5-AS1	down	-0.520760095967836	-4.21122477480575	0.0001933380271768	0.0046567443879896	100505641	ncRNA	O	FGD5-AS1	current_ncbi_symbol	True	False	True	True	True	False	4	False	False	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
YIPF2	up	0.444900337621195	4.21062326713381	0.0001936742282756	0.0068482312488698	78992	protein-coding	O	YIPF2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
MAP2K5	up	0.295826248951882	4.20996762330988	0.0001940576066696	0.0214478399209086	5607	protein-coding	O	MAP2K5	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CISD2	down	-0.44902297212186	-4.20486891398761	0.0001983010848487	0.0067697550956482	493856	protein-coding	O	CISD2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SELENOT	down	-0.607216170672349	-4.20456889774145	0.0001983811108211	0.0033539555063432	51714	protein-coding	O	SELENOT	current_ncbi_symbol	True	False	False	False	False	False	1	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
BMPR2	up	0.357963811617246	4.20400889903668	0.0001986895381591	0.0309811363337247	659	protein-coding	O	BMPR2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
HEPACAM2	down	-0.655510229847858	-4.20051666777407	0.0002012596857955	0.0118879012212473	253012	protein-coding	O	HEPACAM2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CYB5B	down	-0.252942701492392	-4.20047539667271	0.0002012596857955	0.0075648565368398	80777	protein-coding	O	CYB5B	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PRKRIP1	up	0.391222264852676	4.20015245711271	0.0002013618916763	0.0028505976976835	79706	protein-coding	O	PRKRIP1	current_ncbi_symbol	False	True	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
EFNA5	down	-0.446619337083501	-4.19785502283052	0.0002032284247591	0.010674233188982	1946	protein-coding	O	EFNA5	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
BRD3	up	0.285250705416395	4.19751136103102	0.0002033504086439	0.0027216058512243	8019	protein-coding	O	BRD3	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
TMEM164	down	-0.25340794908997	-4.19667307882505	0.0002039172983222	0.0115729731385182	84187	protein-coding	O	TMEM164	current_ncbi_symbol	False	True	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PPP2CA	down	-0.702286430703485	-4.19492348383923	0.0002051220039724	0.0134579133881902	5515	protein-coding	O	PPP2CA	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
BRAT1	up	0.46706991628161	4.1923929934614	0.0002071860406583	0.0036746919865168	221927	protein-coding	O	BRAT1	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PAQR5	down	-0.41165627985867	-4.19223926670081	0.0002071860406583	0.00304723737026	54852	protein-coding	O	PAQR5	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
NDUFB1	down	-0.345996318245882	-4.19137145461746	0.000207790660886	0.0047988385160907	4707	protein-coding	O	NDUFB1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ZNF710	up	0.369945037873847	4.19066721277019	0.0002082468780392	0.0323400461544394	374655	protein-coding	O	ZNF710	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ITPA	up	0.316356033992586	4.18960357706167	0.0002090245961963	0.0195709269623432	3704	protein-coding	O	ITPA	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
C2CD2	up	0.376595456171923	4.18940844999797	0.0002090245961963	0.0028165143363563	25966	protein-coding	O	C2CD2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
RNF216	up	0.312243850357866	4.18806070615767	0.0002100784845487	0.0082212622170813	54476	protein-coding	O	RNF216	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CBFB	up	0.28081580429994	4.18740930959123	0.0002101441107462	0.0049672562285609	865	protein-coding	O	CBFB	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SMIM19	down	-0.312145157943249	-4.17712118082443	0.0002194410592789	0.0286355815048668	114926	protein-coding	O	SMIM19	current_ncbi_symbol	True	False	True	True	False	False	3	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
UBE2H	up	0.21815365170535	4.17662250985993	0.0002197238059354	0.0039878362554349	7328	protein-coding	O	UBE2H	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CHD7	up	0.291417831925918	4.17431386556474	0.0002217633054663	0.0082514968371237	55636	protein-coding	O	CHD7	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
RBM22	down	-0.563559813824219	-4.17188306706406	0.0002239408290435	0.0056745177178942	55696	protein-coding	O	RBM22	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CORO7	up	0.498491953860466	4.16862353606613	0.000226962297916	0.0070351716334983	79585	protein-coding	O	CORO7	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
POMP	down	-0.410305020539197	-4.16782604203277	0.0002275525973306	0.006644839067146	51371	protein-coding	O	POMP	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GCN1	up	0.227434474154102	4.16715510197582	0.00022781872351	0.0063361166997867	10985	protein-coding	O	GCN1	current_ncbi_symbol	True	False	True	True	False	False	3	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
DYM	up	0.21740257112395	4.16702589509532	0.00022781872351	0.0448334316601752	54808	protein-coding	O	DYM	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ARL1	down	-0.501387906027517	-4.16694460768103	0.00022781872351	0.0232844097807846	400	protein-coding	O	ARL1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
LAMTOR5	down	-0.411089388190258	-4.16287266423608	0.0002315056014796	0.0017750626634897	10542	protein-coding	O	LAMTOR5	current_ncbi_symbol	True	False	True	True	True	False	4	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
