collection	gene_set	description	NGenes	Direction	PValue	FDR	strict_core_overlap	top_contributing_genes	global_fdr	interpretive_family
Hallmark 2026.1.Hs	HALLMARK_ADIPOGENESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ADIPOGENESIS	139	Down	3.74407865405855e-06	3.51943393481504e-05	55	ATP5PO;NDUFAB1;GHITM;SUCLG1;IDH1;PGM1;APLP2;COX6A1;SCP2;SQOR;AK2;DLD	0.000289026593490476	other
Hallmark 2026.1.Hs	HALLMARK_XENOBIOTIC_METABOLISM	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_XENOBIOTIC_METABOLISM	103	Down	7.71141262254095e-05	0.000604060655432374	35	MAOA;IDH1;CA2;NDRG2;UGDH;DDC;ECH1;PGRMC1;CYB5A;CAT;SPINT2;CYP2J2	0.00456387103710715	metabolic function
Hallmark 2026.1.Hs	HALLMARK_HYPOXIA	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_HYPOXIA	98	Down	0.00279180169372406	0.0187449542292901	20	FAM162A;PCK1;STBD1;PGM1;PGK1;CITED2;NDRG1;UGP2;MYH9;PGM2;TES;PPARGC1A	0.0728947633412804	stress/inflammatory
Hallmark 2026.1.Hs	HALLMARK_BILE_ACID_METABOLISM	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_BILE_ACID_METABOLISM	53	Down	0.00326841842584297	0.0192019582518274	12	HSD17B11;IDH1;SCP2;ISOC1;CAT;ALDH9A1;SULT1B1;PHYH;PXMP2;PEX11A;RETSAT;TFCP2L1	0.0778936498669019	metabolic function
Hallmark 2026.1.Hs	HALLMARK_PEROXISOME	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_PEROXISOME	71	Down	0.00406908860636873	0.02124968494437	22	HSD17B11;IDH1;SCP2;ECH1;ISOC1;YWHAH;CAT;BCL10;ALDH9A1;PABPC1;ECI2;PEX2	0.0868976134929262	other
Reactome 2026.1.Hs	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	SRP-dependent cotranslational protein targeting to membrane	108	Down	4.16579604693725e-14	3.34513422569061e-11	15	SPCS2;RPL5;SPCS1;SRP9;RPL6;SRP14;RPL22;RPS13;RPS15A;RPL9;RPS3A;RPS24	7.39637088133708e-11	other
Reactome 2026.1.Hs	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	Eukaryotic Translation Elongation	88	Down	7.87410645429166e-13	3.1614537413981e-10	5	RPL5;RPL6;EEF1B2;RPL22;RPS13;RPS15A;RPL9;RPS3A;RPS24;RPL15;RPS7;RPS23	5.59219040383794e-10	other
Reactome 2026.1.Hs	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	Aerobic respiration and respiratory electron transport	215	Down	1.31083188590112e-12	3.50866001459534e-10	97	COX5A;ATP5MC3;SDHD;COX16;MPC2;MPC1;CYCS;COX6C;ATP5PO;FH;NDUFAB1;ATP5F1C	7.75794004472482e-10	mature epithelial function
Reactome 2026.1.Hs	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	Response of EIF2AK4 (GCN2) to amino acid deficiency	95	Down	2.2122646862061e-12	4.44112135755875e-10	6	RPL5;RPL6;RPL22;RPS13;RPS15A;RPL9;RPS3A;RPS24;RPL15;RPS7;RPS23;RPS27A	1.12225027153112e-09	other
Reactome 2026.1.Hs	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Respiratory electron transport	133	Down	6.49493630601091e-12	1.04308677074535e-09	61	COX5A;SDHD;COX16;CYCS;COX6C;NDUFAB1;NDUFA12;NDUFB5;GOT1;NDUFA6;COX7C;COX6A1	2.56261320251608e-09	mature epithelial function
