module	dataset	species	model_system	comparison	unit_id	target_minus_reference	module_adenoma_direction_sign	module_reversal
M03	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	HT29	-0.223131233711067	1	0.223131233711067
M03	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	L8	0.08457263475348423	1	-0.08457263475348423
M03	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	SIBC	0.04929317446602672	1	-0.04929317446602672
M04	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	DLD1	-0.02872938288906968	-1	-0.02872938288906968
M04	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	HT29	-0.12492117751107071	-1	-0.12492117751107071
M04	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	L8	0.040076341106139474	-1	0.040076341106139474
M04	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	SIBC	-0.05621152957721441	-1	-0.05621152957721441
M05	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	DLD1	-0.20444942772566427	-1	-0.20444942772566427
M05	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	HT29	-0.2370107965827489	-1	-0.2370107965827489
M05	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	L8	0.04419650019513194	-1	0.04419650019513194
M05	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	SIBC	-0.1948327958439646	-1	-0.1948327958439646
M06	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	DLD1	0.5527166253427785	1	-0.5527166253427785
M06	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	HT29	-0.11085256918538633	1	0.11085256918538633
M06	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	L8	0.05986876052429822	1	-0.05986876052429822
M06	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	SIBC	0.1853198725687643	1	-0.1853198725687643
M09	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	DLD1	-0.6152483332467398	-1	-0.6152483332467398
M09	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	HT29	-0.9697620851133978	-1	-0.9697620851133978
M09	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	L8	-0.18440359898954078	-1	-0.18440359898954078
