gene	panel_role	locked_signature_member	selected	discovery_effect_adenoma_minus_normal	bootstrap_ci_low	bootstrap_ci_high	direction_stability	expected_direction	protein_gene_present	n_normal	n_adenoma	normal_detection_fraction	adenoma_detection_fraction	median_log2_normal	median_log2_adenoma	adenoma_minus_normal_log2_median	standardized_mean_difference	auc_adenoma_greater_than_normal	mann_whitney_u	p_value	age_sex_adjusted_log2_effect	age_sex_adjusted_ci_low	age_sex_adjusted_ci_high	age_sex_adjusted_p	q_value_bh_candidates	age_sex_adjusted_q_bh_candidates	pxd017269_protein_group_present	pxd017269_protein_accessions	pxd017269_n_samples	pxd017269_n_detected	pxd017269_detection_fraction	pxd017269_median_log2_intensity_detected	pxd017269_archival_group_kruskal_p	pxd017269_archival_group_kruskal_q_bh_candidates	detected_in_nine_patient_dvp	enriched_in_metachronous_crc_group	enriched_in_metachronous_hda_group	enriched_in_non_metachronous_group	pxd002137_adjusted_direction_match	public_protein_evidence_tier
ZNF503	locked_signature_candidate	True	True	0.2449439	0.1224156258627772	0.3917520180344581	1.0	1	True	0	7	0.0	0.4375		14.204469041688984												False		118	0	0.0				False	False	False	False	False	C_incomplete_public_protein_support
PKIB	locked_signature_candidate	True	True	-0.39364296	-0.5642933428287507	-0.2144892767071724	1.0	-1	True	4	2	0.5	0.125	13.514411774167012	11.344493835323709	-2.1699179388433034	-7.876366245098236	0.0	0.0	0.13333333333333333					0.2567901234567901		True	Q5T0Z6;Q9C010;Q9C010-2	118	52	0.4406779661016949	14.95326471328735	0.028491824619152725	0.18519644665094548	False	False	False	False	False	C_incomplete_public_protein_support
COX6A1	locked_signature_candidate	True	True	-0.4024748	-0.6308930695056916	-0.1809658620506525	1.0	-1	True	3	3	0.375	0.1875	14.883754193816273	13.052518307363451	-1.8312358864528218	-0.45218845473158154	0.3333333333333333	3.0	0.7					0.8088888888888888		False		118	0	0.0				False	False	False	False	False	C_incomplete_public_protein_support
TBX3	locked_signature_candidate	True	True	0.28470665	0.115428022108972	0.4667026661336422	0.999	1	True	0	14	0.0	0.875		8.720666136611642												False		118	0	0.0				False	False	False	False	False	C_incomplete_public_protein_support
GUCA2A	locked_signature_candidate	True	True	-0.38981053	-0.6768209472298622	-0.0786236425861717	0.992	-1	True	5	0	0.625	0.0	12.867672728168827													True	Q02747	118	11	0.09322033898305085	13.7657699584961	0.2986946892886785	0.5007528614545492	False	False	False	False	False	C_incomplete_public_protein_support
NOS2	locked_signature_candidate	True	True	0.2230627	0.0101374034537002	0.5847017884254454	0.991	1	True	2	10	0.25	0.625	14.398471453337725	8.683597649780655	-5.7148738035570705	-2.259246381538154	0.0	0.0	0.030303030303030304					0.09269162210338681		False		118	0	0.0				False	False	False	False	False	C_incomplete_public_protein_support
GRIN2B	locked_signature_candidate	True	True	0.6873841	0.2906365938484669	1.2021839708089828	1.0	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
ZNRF3	locked_signature_candidate	True	True	0.5048981	0.2704494729638099	0.7402453705668449	1.0	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
ASCL2	locked_signature_candidate	True	True	0.50405955	0.2835490621626377	0.7455495700240135	1.0	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
RNF43	locked_signature_candidate	True	True	0.4764946	0.2538956291973591	0.6859840527176857	1.0	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
NKD1	locked_signature_candidate	True	True	0.4699508	0.1873228497803211	0.790768727660179	1.0	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
MSX2	locked_signature_candidate	True	True	0.4173779	0.1878657259047031	0.6841770842671392	1.0	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
LGR5	locked_signature_candidate	True	True	0.41682506	0.2220236763358116	0.6516241267323494	1.0	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
LINC02350	locked_signature_candidate	True	True	0.41378772	0.137334755808115	0.800318731367588	1.0	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
LINC01819	locked_signature_candidate	True	True	0.3956442	0.0749957386404275	0.8275866776704788	1.0	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False	C_transcript_locked_not_detected_in_pxd002137
