rank	enrichment_score	hit	pathway
303	-0.0376912551312352	FALSE	Oxidative Phosphorylation
304	-0.0378156487125264	FALSE	Oxidative Phosphorylation
305	-0.0379400422938176	FALSE	Oxidative Phosphorylation
306	-0.0380644358751088	FALSE	Oxidative Phosphorylation
307	-0.0381888294564001	FALSE	Oxidative Phosphorylation
308	-0.0383132230376913	FALSE	Oxidative Phosphorylation
309	-0.0384376166189825	FALSE	Oxidative Phosphorylation
310	-0.0385620102002737	FALSE	Oxidative Phosphorylation
311	-0.0386864037815649	FALSE	Oxidative Phosphorylation
312	-0.0388107973628561	FALSE	Oxidative Phosphorylation
313	-0.0389351909441473	FALSE	Oxidative Phosphorylation
314	-0.0390595845254385	FALSE	Oxidative Phosphorylation
315	-0.0391839781067297	FALSE	Oxidative Phosphorylation
316	-0.0393083716880209	FALSE	Oxidative Phosphorylation
317	-0.0394327652693121	FALSE	Oxidative Phosphorylation
318	-0.0395571588506033	FALSE	Oxidative Phosphorylation
319	-0.0396815524318945	FALSE	Oxidative Phosphorylation
320	-0.0398059460131857	FALSE	Oxidative Phosphorylation
321	-0.0399303395944769	FALSE	Oxidative Phosphorylation
322	-0.0400547331757681	FALSE	Oxidative Phosphorylation
323	-0.0401791267570593	FALSE	Oxidative Phosphorylation
324	-0.0403035203383505	FALSE	Oxidative Phosphorylation
325	-0.0404279139196417	FALSE	Oxidative Phosphorylation
326	-0.040552307500933	FALSE	Oxidative Phosphorylation
327	-0.0406767010822242	FALSE	Oxidative Phosphorylation
328	-0.0408010946635154	FALSE	Oxidative Phosphorylation
329	-0.0409254882448066	FALSE	Oxidative Phosphorylation
330	-0.0410498818260978	FALSE	Oxidative Phosphorylation
331	-0.041174275407389	FALSE	Oxidative Phosphorylation
332	-0.0412986689886802	FALSE	Oxidative Phosphorylation
333	-0.0414230625699714	FALSE	Oxidative Phosphorylation
334	-0.0415474561512626	FALSE	Oxidative Phosphorylation
335	-0.0416718497325538	FALSE	Oxidative Phosphorylation
336	-0.041796243313845	FALSE	Oxidative Phosphorylation
337	-0.0419206368951362	FALSE	Oxidative Phosphorylation
338	-0.0420450304764274	FALSE	Oxidative Phosphorylation
339	-0.0421694240577186	FALSE	Oxidative Phosphorylation
340	-0.0422938176390098	FALSE	Oxidative Phosphorylation
341	-0.042418211220301	FALSE	Oxidative Phosphorylation
342	-0.0425426048015922	FALSE	Oxidative Phosphorylation
