dataset	score	min_cells_per_specimen_state	primary_threshold	comparison	group_a	group_b	cell_type	cell_type_label	n_donors_a	n_donors_b	mean_a	mean_b	effect_a_minus_b	bootstrap_ci_low	bootstrap_ci_high	bootstrap_p_directional	n_paired_donors	paired_median_difference	paired_wilcoxon_p	paired_wilcoxon_q
discovery	signature_12	10	False	conventional_vs_normal	conventional_adenoma	normal	EE	Enteroendocrine	4	6	1.2719146012002058	0.4829012330717166	0.7890133681284892	0.3295152861188876	1.4005927219360883	0.0	1			
discovery	signature_12	10	False	conventional_vs_normal	conventional_adenoma	normal	GOB	Goblet	12	23	0.6522300390727087	-0.04555562087504094	0.6977856599477497	0.5239906877574628	0.8580745000996227	0.0	9	0.7238410444223455	0.0078125	0.015625
discovery	signature_12	10	False	conventional_vs_normal	conventional_adenoma	normal	SSC	Abnormal	4	1	0.023138051183897473	0.08344922769295107	-0.0603111765090536	-0.28523395109918204	0.1187431112206542	0.5863570391872278	0			
discovery	signature_12	10	False	conventional_vs_normal	conventional_adenoma	normal	STM	Crypt stem	6	14	0.31340685799033524	-0.10116365889586003	0.4145705168861953	0.1523324285927205	0.6342989072361379	0.004001600640256103	2			
discovery	signature_12	10	False	conventional_vs_normal	conventional_adenoma	normal	TAC	Transit-amplifying	12	24	0.8943869952432045	-0.03533329876873952	0.929720294011944	0.690917377137049	1.1576368135731538	0.0	9	0.891537670546437	0.00390625	0.015625
discovery	signature_12	10	False	conventional_vs_normal	conventional_adenoma	normal	TUF	Tuft	7	15	1.1999110618052082	0.575321805451748	0.6245892563534602	0.44695683065597364	0.7785802371520892	0.0	4	0.5015182309931334	0.125	0.15
discovery	signature_12	10	False	conventional_vs_serrated	conventional_adenoma	serrated	ABS	Absorptive	14	11	-0.05835387652695052	-0.3765457768668783	0.3181919003399278	0.1531397635483692	0.4734984370179983	0.0004	0			
discovery	signature_12	10	False	conventional_vs_serrated	conventional_adenoma	serrated	ASC	Neoplastic	11	9	1.2911746297053115	0.6956935805061447	0.5954810491991668	0.3593958988918045	0.8449679806423425	0.0	0			
discovery	signature_12	10	False	conventional_vs_serrated	conventional_adenoma	serrated	CT	Other colonic epithelium	6	8	0.1421696201164877	-0.1049600300506788	0.2471296501671665	0.029471217414995084	0.45736100750371195	0.0288	0			
discovery	signature_12	10	False	conventional_vs_serrated	conventional_adenoma	serrated	EE	Enteroendocrine	4	3	1.2719146012002058	0.6770742708308362	0.5948403303693697	0.14332687143814193	1.132480952329379	0.0004086636697997548	0			
discovery	signature_12	10	False	conventional_vs_serrated	conventional_adenoma	serrated	GOB	Goblet	12	8	0.6522300390727087	0.21301941120260978	0.4392106278700989	0.28509314305182476	0.5974842261683516	0.0	0			
discovery	signature_12	10	False	conventional_vs_serrated	conventional_adenoma	serrated	SSC	Abnormal	4	7	0.023138051183897473	-0.42998379092023736	0.45312184210413486	0.20143854505473963	0.6900200289358491	0.0	0			
discovery	signature_12	10	False	conventional_vs_serrated	conventional_adenoma	serrated	STM	Crypt stem	6	5	0.31340685799033524	0.057909711706011155	0.2554971462843241	-0.11465458683282947	0.5540130738541297	0.14940917284197877	0			
discovery	signature_12	10	False	conventional_vs_serrated	conventional_adenoma	serrated	TAC	Transit-amplifying	12	11	0.8943869952432045	0.05009781232502381	0.8442891829181807	0.6007754603819251	1.1010167914992652	0.0	0			
discovery	signature_12	10	False	conventional_vs_serrated	conventional_adenoma	serrated	TUF	Tuft	7	2	1.1999110618052082	0.7123045927515725	0.4876064690536357	0.14117703892819455	0.8155325379057365	0.000445632798573975	0			
discovery	signature_12	20	True	conventional_vs_normal	conventional_adenoma	normal	ABS	Absorptive	14	24	-0.05835387652695052	-0.5302340755846096	0.47188019905765904	0.29553600118601797	0.6339421059320066	0.0	11	0.5374649499408677	0.0068359375	0.015625
discovery	signature_12	20	True	conventional_vs_normal	conventional_adenoma	normal	ASC	Neoplastic	11	8	1.2911746297053115	0.6587415986384221	0.6324330310668894	0.3751062612348971	0.8810836352168964	0.0	5	0.8544006196660603	0.0625	0.0625
discovery	signature_12	20	True	conventional_vs_normal	conventional_adenoma	normal	CT	Other colonic epithelium	4	12	0.11259857595903047	-0.22666295861460917	0.3392615345736396	0.024490983944860295	0.6381214347280615	0.036686151985486797	1			
discovery	signature_12	20	True	conventional_vs_normal	conventional_adenoma	normal	GOB	Goblet	11	23	0.6800330681618723	-0.04555562087504094	0.7255886890369132	0.5661801200179774	0.8752960198379738	0.0	8	0.7244036061611111	0.0078125	0.015625
discovery	signature_12	20	True	conventional_vs_normal	conventional_adenoma	normal	SSC	Abnormal	2	1	-0.1262936735506735	0.08344922769295107	-0.20974290124362457	-0.36072500095473947	-0.058760801532509635	0.0	0			
discovery	signature_12	20	True	conventional_vs_normal	conventional_adenoma	normal	STM	Crypt stem	4	12	0.2183024599844453	-0.1121920013209055	0.3304944613053508	-0.023572095021125304	0.6531256033698154	0.06275303643724696	1			
discovery	signature_12	20	True	conventional_vs_normal	conventional_adenoma	normal	TAC	Transit-amplifying	11	21	0.9262066978782457	-0.033577834913035884	0.9597845327912816	0.7070861986642905	1.1960257474899163	0.0	7	1.2042512222127357	0.015625	0.020833333333333332
discovery	signature_12	20	True	conventional_vs_normal	conventional_adenoma	normal	TUF	Tuft	2	7	1.310359939477856	0.6415481162540191	0.6688118232238369	0.4932994713172672	0.838721782413411	0.0	1			
