dataset	score	state_set	comparison	cell_type	cell_type_label	proportion_a	proportion_b	mean_score_a	mean_score_b	composition_contribution	composition_ci_low	composition_ci_high	within_state_contribution	within_state_ci_low	within_state_ci_high
validation	core_287	canonical_states	conventional_vs_serrated	TUF	Tuft	0.016282052259192208	0.023687509778306387	0.7681977212168094	0.29112508188031694	-0.003922385008682363	-0.01230514860156208	0.00467216499781823	0.009534192227176564	0.00421809460138477	0.015180284951506291
validation	core_287	canonical_states	conventional_vs_serrated	EE	Enteroendocrine	0.009484844129104664	0.01534460750543298	0.47447575713604445	0.39752560251362073	-0.0025548608156918022	-0.007157551060297929	0.002594371048833666	0.0009553150712338314	-0.0012900238144275416	0.0033074124943237282
discovery	core_287	canonical_states	conventional_vs_normal	ABS	Absorptive	0.5409136211605778	0.6429072676345503	-0.018415170503276672	-0.27293122842557105	0.014857740806906923	0.001338169238120495	0.029074340797004793	0.1506507129511014	0.09552493216279034	0.20447610273299952
discovery	core_287	canonical_states	conventional_vs_normal	GOB	Goblet	0.22304639710235308	0.16302131937071462	0.376917407334533	-0.03956035842125206	0.010124941542167922	-0.004458279114429429	0.026183611563928694	0.08039430999357056	0.055352869317002805	0.10454636846945298
discovery	core_287	canonical_states	conventional_vs_normal	TAC	Transit-amplifying	0.15178329347007372	0.09330764017250709	0.460326805692929	-0.09510835293804117	0.010678193810584269	-0.001001676729338275	0.029036051444095042	0.06806606080338973	0.03827916760712761	0.10200074316519099
discovery	core_287	canonical_states	conventional_vs_normal	STM	Crypt stem	0.047650482155244096	0.04987612040229933	0.15054461182942888	-0.09910332372886894	-5.72448491371967e-05	-0.00162225931402244	0.0028046371860354644	0.012173657495252663	0.0015977231850638068	0.02393272812690504
discovery	core_287	canonical_states	conventional_vs_normal	CT	Other colonic epithelium	0.013038076630033011	0.02471272662514283	-0.09049651307258082	-0.22921752212307106	0.0018662747297167291	-1.0369383451050069e-05	0.003329209897006648	0.002618414760012262	0.0004430598031246357	0.004893604234877065
discovery	core_287	canonical_states	conventional_vs_normal	TUF	Tuft	0.018645150898014277	0.01962362233542347	0.4984315253451403	0.08349898799525958	-0.00028470119293022556	-0.0030736871817481507	0.0025046000224013326	0.007939479589508762	0.00516731766036452	0.011067519354914356
discovery	core_287	canonical_states	conventional_vs_normal	EE	Enteroendocrine	0.004922978583704033	0.0065513034593623135	0.4114215334907208	0.19240352194454985	-0.0004916116791554958	-0.0016153990979449956	0.0004800939168628591	0.0012565372184961635	0.0005796862926992576	0.002177550175545626
discovery	core_287	canonical_states	conventional_vs_serrated	ABS	Absorptive	0.5409136211605778	0.6518560170606543	-0.018415170503276672	-0.13268391330760998	0.008381647188143113	-0.0014592723799252715	0.01817547552543342	0.06814814350735983	0.014391137562294015	0.12411705940911008
discovery	core_287	canonical_states	conventional_vs_serrated	GOB	Goblet	0.22304639710235305	0.1509627625300722	0.37691740733453305	0.09618480243324486	0.017051463402119528	-0.009589173962402407	0.043644498031750474	0.052498282820276236	0.0331620505962698	0.0734914231146278
discovery	core_287	canonical_states	conventional_vs_serrated	TAC	Transit-amplifying	0.15178329347007372	0.10524934959517528	0.460326805692929	-0.0006160219348182373	0.010696077905042749	-0.006176858466624102	0.03332879918553967	0.05923867664356467	0.03332424457047599	0.08856032453670519
discovery	core_287	canonical_states	conventional_vs_serrated	STM	Crypt stem	0.047650482155244096	0.025334875660639498	0.15054461182942888	0.04654629855260132	0.002199101599874383	-0.0015060530001155877	0.008757472114823996	0.003795177053378809	-0.002950743709185529	0.011614259546865568
discovery	core_287	canonical_states	conventional_vs_serrated	CT	Other colonic epithelium	0.013038076630033011	0.034778110154745356	-0.09049651307258082	-0.09688004756659739	0.002036786355020515	0.00034525029580196605	0.003996970899945299	0.00015261813885648608	-0.002866637285785175	0.0030613313735300624
discovery	core_287	canonical_states	conventional_vs_serrated	TUF	Tuft	0.018645150898014277	0.010533005792430633	0.4984315253451403	0.09614786168800543	0.002411657132200928	-0.0002741767813301011	0.00572388066732044	0.00586894788609706	0.0027600838953559343	0.00948202298618273
discovery	core_287	canonical_states	conventional_vs_serrated	EE	Enteroendocrine	0.004922978583704033	0.02128587920628273	0.4114215334907208	0.19288872738917076	-0.004944134371991136	-0.009819114686966309	-0.0010496898571927392	0.0028637476187811386	0.0008587335913327864	0.006024254105187376
