experiment	gene	pair_number_within_experiment	pair_id	normal_channel	adenoma_channel	normal_log2_ratio_vs_114	adenoma_log2_ratio_vs_114	adenoma_minus_normal_log2	n_unique_peptides_normal	n_unique_peptides_adenoma	passes_author_batch_qc
5	COX5A	1	Exp05_Pair1	115	116	-0.6943212567577125	0.08949815083910263	0.7838194075968151	3	3	False
5	COX5A	2	Exp05_Pair2	117	118	0.3628906426658603	-0.9077925619029111	-1.2706832045687715	3	3	False
5	COX5A	3	Exp05_Pair3	119	121	-0.8109661756099832	-1.2175914350726267	-0.4066252594626435	3	3	False
5	COX6C	1	Exp05_Pair1	115	116	-0.26876669472242004	0.31978997394125436	0.5885566686636744	4	4	False
5	COX6C	2	Exp05_Pair2	117	118	0.8152688099391667	-0.6368586213829386	-1.4521274313221053	4	4	False
5	COX6C	3	Exp05_Pair3	119	121	-0.7385185177395573	-1.0857800102101238	-0.3472614924705665	4	4	False
5	CYCS	1	Exp05_Pair1	115	116	-1.702534665093804	-0.4719288354212646	1.2306058296725393	7	7	False
5	CYCS	2	Exp05_Pair2	117	118	-0.47213006999231444	-1.5532055073115463	-1.0810754373192317	7	7	False
5	CYCS	3	Exp05_Pair3	119	121	-1.6943212567577124	-1.8726497712405887	-0.17832851448287634	7	7	False
5	DAB2	1	Exp05_Pair1	115	116	-1.2933589426905916	-0.5500425163719964	0.7433164263185952	1	1	False
5	DAB2	2	Exp05_Pair2	117	118	-0.1942948151614887	-1.6620035364849841	-1.4677087213234954	1	1	False
5	DAB2	3	Exp05_Pair3	119	121	-1.5269924320838262	-1.6620035364849841	-0.13501110440115793	1	1	False
5	DHRS11	1	Exp05_Pair1	115	116	-0.8836352433082154	-0.2549778509627355	0.6286573923454799	5	5	False
5	DHRS11	2	Exp05_Pair2	117	118	0.7145752388516258	-1.3147325934831584	-2.0293078323347844	5	5	False
5	DHRS11	3	Exp05_Pair3	119	121	-1.7759597257820698	-2.1328942704973453	-0.3569345447152754	5	5	False
5	EPCAM	1	Exp05_Pair1	115	116	-0.5332423842738286	0.23756371831767567	0.7708061025915043	5	5	False
5	EPCAM	2	Exp05_Pair2	117	118	0.751892138404309	-0.5332423842738286	-1.2851345226781377	5	5	False
5	EPCAM	3	Exp05_Pair3	119	121	-0.9606622948733314	-1.276179723619948	-0.3155174287466165	5	5	False
5	ETHE1	1	Exp05_Pair1	115	116	-0.888968687611256	0.2011635365612895	1.0901322241725455	11	11	False
5	ETHE1	2	Exp05_Pair2	117	118	0.47819525793916595	-1.4422223286050742	-1.92041758654424	11	11	False
5	ETHE1	3	Exp05_Pair3	119	121	-1.380821783940931	-1.7514651638613212	-0.3706433799203903	11	11	False
5	FABP1	1	Exp05_Pair1	115	116	-2.023269779322847	-0.2740407654908124	1.7492290138320348	7	7	False
5	FABP1	2	Exp05_Pair2	117	118	-0.10550850604749759	-1.90241188563318	-1.7969033795856824	7	7	False
5	FABP1	3	Exp05_Pair3	119	121	-1.905088352974533	-2.211886964562739	-0.30679861158820576	7	7	False
5	FCGRT	1	Exp05_Pair1	115	116	-1.2175914350726267	-0.9213901653036336	0.2962012697689931	3	3	False
5	FCGRT	2	Exp05_Pair2	117	118	0.13750352374993502	-1.6082322800440032	-1.7457358037939383	3	3	False
5	FCGRT	3	Exp05_Pair3	119	121	-1.7273795453370082	-1.8160371651574052	-0.088657619820397	3	3	False
5	GUCA2A	1	Exp05_Pair1	115	116	-1.0144995696951151	-0.6688680777827978	0.34563149191231735	1	1	False
5	GUCA2A	2	Exp05_Pair2	117	118	-0.052894948432125465	-1.1778817252706555	-1.12498677683853	1	1	False
5	GUCA2A	3	Exp05_Pair3	119	121	-1.139235797371172	-0.9434164716336325	0.19581932573753946	1	1	False
5	HMGCS2	1	Exp05_Pair1	115	116	-1.5269924320838262	0.3862591411333461	1.9132515732171722	15	15	False
5	HMGCS2	2	Exp05_Pair2	117	118	0.24610400988391656	-1.1202942337177118	-1.3663982436016284	15	15	False
5	HMGCS2	3	Exp05_Pair3	119	121	-1.3584539709124763	-1.6850135145314846	-0.3265595436190083	15	15	False
5	IGFBP2	1	Exp05_Pair1	115	116	-1.0896660883459048	-0.4682574961861243	0.6214085921597805	2	2	False
5	IGFBP2	2	Exp05_Pair2	117	118	0.04707258914343196	-1.4126470973731124	-1.4597196865165445	2	2	False
5	IGFBP2	3	Exp05_Pair3	119	121	-1.5263316599077865	-1.8747810973145964	-0.3484494374068099	2	2	False
5	LGALS3	1	Exp05_Pair1	115	116	-0.9489759969755331	0.30206033909065283	1.251036336066186	5	5	False
5	LGALS3	2	Exp05_Pair2	117	118	0.3906676855596674	-1.0519981840952044	-1.4426658696548718	5	5	False
5	LGALS3	3	Exp05_Pair3	119	121	-1.6170561304310094	-1.8677522017015602	-0.2506960712705508	5	5	False
5	LGALS4	1	Exp05_Pair1	115	116	-0.09522692319732809	0.8648018345058752	0.9600287577032033	12	12	False
5	LGALS4	2	Exp05_Pair2	117	118	1.1854775385021403	-1.0087413780369827	-2.194218916539123	12	12	False
5	LGALS4	3	Exp05_Pair3	119	121	-0.9871312192931958	-1.331586387883808	-0.3444551685906121	12	12	False
5	MYL6	1	Exp05_Pair1	115	116	-0.8198796740959204	-0.3086121535697583	0.5112675205261621	7	7	False
