gene	pride_result_accession	mztab_file	protein_accessions	max_num_psms	max_num_distinct_peptides
COX6C	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	P09669	1	1
CPNE7	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	Q9UBL6	2	1
CPNE7	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	Q9UBL6	2	2
CPNE7	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	Q9UBL6	1	1
CPNE7	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	Q9UBL6	2	1
CPNE7	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	Q9UBL6	1	1
CTNNB1	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	B4DGU4	22	17
CTNNB1	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	B4DGU4	24	19
CTNNB1	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	B4DGU4;E7EMJ5	23	20
CTNNB1	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	B4DGU4	22	17
CTNNB1	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	P35222	45	22
CTNNB1	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	B4DGU4;E7EMJ5;E7ERS9;P35222-2	29	24
CTNNB1	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	E7ERS9	19	16
CTNNB1	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	P35222	11	10
CTNNB1	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	E7EMJ5;E7ERS9;P35222-2	23	20
CTNNB1	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	E7ERS9	15	13
CTNNB1	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	E7ERS9	29	24
CYCS	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	C9JFR7	20	9
CYCS	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	C9JFR7	12	9
CYCS	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	C9JFR7	25	12
CYCS	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	C9JFR7	27	12
CYCS	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	C9JFR7	30	14
CYCS	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	C9JFR7	20	15
CYCS	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	C9JFR7	17	12
CYCS	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	C9JFR7	16	12
CYCS	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	C9JFR7	11	6
DAB2	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	P98082	1	1
DAB2	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	P98082	1	1
DAB2	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	P98082	1	1
DAB2	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	P98082	1	1
DHRS11	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	Q6UWP2	3	3
DHRS11	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	Q6UWP2	6	6
DHRS11	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	Q6UWP2	6	6
DHRS11	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	Q6UWP2	8	6
DHRS11	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	Q6UWP2	9	6
DHRS11	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	Q6UWP2	2	2
DHRS11	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	Q6UWP2	1	1
DHRS11	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	Q6UWP2	1	1
DHRS11	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	Q6UWP2	2	2
DHRS11	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	Q6UWP2	2	2
DHRS11	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	Q6UWP2	2	2
DPEP1	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	REV_P16444	1	1
DPEP1	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	REV_P16444	1	1
EPCAM	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	B5MCA4	9	6
EPCAM	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	B5MCA4;P16422	7	5
EPCAM	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	B5MCA4	11	10
EPCAM	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	B5MCA4	9	6
EPCAM	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	B5MCA4;C9JKY3	12	8
EPCAM	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	B5MCA4;C9JKY3	7	6
EPCAM	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	B5MCA4;C9JKY3	8	8
EPCAM	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	B5MCA4	4	3
EPCAM	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	B5MCA4	8	6
EPCAM	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	B5MCA4;C9JKY3	4	4
EPCAM	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	B5MCA4;C9JKY3	5	4
EPHB3	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	P54753	2	1
ETHE1	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	O95571	9	8
ETHE1	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	O95571	12	12
ETHE1	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	O95571	16	13
ETHE1	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	O95571	20	16
ETHE1	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	O95571	26	19
ETHE1	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	O95571	14	12
ETHE1	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	O95571	11	10
ETHE1	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	O95571	9	8
ETHE1	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	O95571	15	12
ETHE1	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	O95571	18	15
FABP1	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	P07148	52	25
FABP1	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	P07148	44	19
FABP1	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	P07148	88	24
FABP1	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	P07148	86	26
FABP1	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	P07148	61	20
FABP1	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	P07148	54	33
FABP1	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	P07148	76	33
FABP1	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	P07148	58	31
FABP1	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	P07148	63	36
