x	y	xend	yend
270	0.964071980170561	271.75	0.964071980170561
268.5	0.962084663921985	268.5	0.970078578037729
270.875	0.964071980170561	270.875	0.970078578037729
268.5	0.970078578037729	270.875	0.970078578037729
263.3125	0.969245045892153	263.3125	0.972960802207503
269.6875	0.970078578037729	269.6875	0.972960802207503
263.3125	0.972960802207503	269.6875	0.972960802207503
261	0	261	0.975681753249507
266.5	0.972960802207503	266.5	0.975681753249507
261	0.975681753249507	266.5	0.975681753249507
260	0	260	0.9805353170099
263.75	0.975681753249507	263.75	0.9805353170099
260	0.9805353170099	263.75	0.9805353170099
274	0	274	0.973626859281542
275	0	275	0.973626859281542
274	0.973626859281542	275	0.973626859281542
276	0	276	0.977979695328636
277	0	277	0.977979695328636
276	0.977979695328636	277	0.977979695328636
281	0	281	0.940630068680897
282	0	282	0.940630068680897
281	0.940630068680897	282	0.940630068680897
280	0	280	0.966407153098529
281.5	0.940630068680897	281.5	0.966407153098529
280	0.966407153098529	281.5	0.966407153098529
279	0	279	0.970211455631884
280.75	0.966407153098529	280.75	0.970211455631884
279	0.970211455631884	280.75	0.970211455631884
283	0	283	0.971379608760455
284	0	284	0.971379608760455
283	0.971379608760455	284	0.971379608760455
287	0	287	0.944777483903676
288	0	288	0.944777483903676
287	0.944777483903676	288	0.944777483903676
286	0	286	0.972346414553362
287.5	0.944777483903676	287.5	0.972346414553362
286	0.972346414553362	287.5	0.972346414553362
285	0	285	0.975398244446321
286.75	0.972346414553362	286.75	0.975398244446321
285	0.975398244446321	286.75	0.975398244446321
283.5	0.971379608760455	283.5	0.976911863215864
285.875	0.975398244446321	285.875	0.976911863215864
283.5	0.976911863215864	285.875	0.976911863215864
279.875	0.970211455631884	279.875	0.978772294353993
284.6875	0.976911863215864	284.6875	0.978772294353993
279.875	0.978772294353993	284.6875	0.978772294353993
291	0	291	0.967036174693214
292	0	292	0.967036174693214
291	0.967036174693214	292	0.967036174693214
290	0	290	0.975082582938984
291.5	0.967036174693214	291.5	0.975082582938984
290	0.975082582938984	291.5	0.975082582938984
296	0	296	0.955613652178616
297	0	297	0.955613652178616
296	0.955613652178616	297	0.955613652178616
300	0	300	0.924791914869876
301	0	301	0.924791914869876
300	0.924791914869876	301	0.924791914869876
299	0	299	0.946757826176448
300.5	0.924791914869876	300.5	0.946757826176448
299	0.946757826176448	300.5	0.946757826176448
298	0	298	0.961705395790436
299.75	0.946757826176448	299.75	0.961705395790436
298	0.961705395790436	299.75	0.961705395790436
296.5	0.955613652178616	296.5	0.966876700893053
298.875	0.961705395790436	298.875	0.966876700893053
296.5	0.966876700893053	298.875	0.966876700893053
295	0	295	0.970833980452356
297.6875	0.966876700893053	297.6875	0.970833980452356
295	0.970833980452356	297.6875	0.970833980452356
294	0	294	0.975081323478591
296.34375	0.970833980452356	296.34375	0.975081323478591
294	0.975081323478591	296.34375	0.975081323478591
293	0	293	0.97670982398006
295.171875	0.975081323478591	295.171875	0.97670982398006
293	0.97670982398006	295.171875	0.97670982398006
290.75	0.975082582938984	290.75	0.979355971425922
294.0859375	0.97670982398006	294.0859375	0.979355971425922
290.75	0.979355971425922	294.0859375	0.979355971425922
302	0	302	0.968789270007595
303	0	303	0.968789270007595
302	0.968789270007595	303	0.968789270007595
305	0	305	0.965696605789339
306	0	306	0.965696605789339
305	0.965696605789339	306	0.965696605789339
304	0	304	0.975017507684508
305.5	0.965696605789339	305.5	0.975017507684508
304	0.975017507684508	305.5	0.975017507684508
308	0	308	0.969994285705997
309	0	309	0.969994285705997
308	0.969994285705997	309	0.969994285705997
307	0	307	0.974758223146508
308.5	0.969994285705997	308.5	0.974758223146508
307	0.974758223146508	308.5	0.974758223146508
313	0	313	0.976290662450397
314	0	314	0.976290662450397
313	0.976290662450397	314	0.976290662450397
316	0	316	0.965414761343903
317	0	317	0.965414761343903
316	0.965414761343903	317	0.965414761343903
315	0	315	0.975542343339627
316.5	0.965414761343903	316.5	0.975542343339627
315	0.975542343339627	316.5	0.975542343339627
318	0	318	0.972474950325369
319	0	319	0.972474950325369
318	0.972474950325369	319	0.972474950325369
322	0	322	0.966581376024685
323	0	323	0.966581376024685
322	0.966581376024685	323	0.966581376024685
321	0	321	0.970191309935097
322.5	0.966581376024685	322.5	0.970191309935097
321	0.970191309935097	322.5	0.970191309935097
320	0	320	0.97715411797721
321.75	0.970191309935097	321.75	0.97715411797721
320	0.97715411797721	321.75	0.97715411797721
325	0	325	0.967120452851512
326	0	326	0.967120452851512
325	0.967120452851512	326	0.967120452851512
324	0	324	0.973250101200994
325.5	0.967120452851512	325.5	0.973250101200994
324	0.973250101200994	325.5	0.973250101200994
328	0	328	0.972628179939506
329	0	329	0.972628179939506
328	0.972628179939506	329	0.972628179939506
331	0	331	0.942600326070184
332	0	332	0.942600326070184
331	0.942600326070184	332	0.942600326070184
330	0	330	0.974370038309349
331.5	0.942600326070184	331.5	0.974370038309349
330	0.974370038309349	331.5	0.974370038309349
328.5	0.972628179939506	328.5	0.976921587225889
330.75	0.974370038309349	330.75	0.976921587225889
328.5	0.976921587225889	330.75	0.976921587225889
327	0	327	0.977246560522099
329.625	0.976921587225889	329.625	0.977246560522099
327	0.977246560522099	329.625	0.977246560522099
334	0	334	0.958071627495703
335	0	335	0.958071627495703
334	0.958071627495703	335	0.958071627495703
339	0	339	0.930116239693999
340	0	340	0.930116239693999
339	0.930116239693999	340	0.930116239693999
338	0	338	0.953723667255409
339.5	0.930116239693999	339.5	0.953723667255409
338	0.953723667255409	339.5	0.953723667255409
337	0	337	0.967496105722284
338.75	0.953723667255409	338.75	0.967496105722284
337	0.967496105722284	338.75	0.967496105722284
336	0	336	0.974642871902885
337.875	0.967496105722284	337.875	0.974642871902885
336	0.974642871902885	337.875	0.974642871902885
334.5	0.958071627495703	334.5	0.977092473723987
336.9375	0.974642871902885	336.9375	0.977092473723987
334.5	0.977092473723987	336.9375	0.977092473723987
342	0	342	0.973133249990344
343	0	343	0.973133249990344
