gene	full_common_effect	full_common_z	shared_direction	state_sign_stability_ABS	state_sign_stability_GOB	state_sign_stability_TAC	common_sign_stability	leaveout_common_effect_min	leaveout_common_effect_median	leaveout_common_effect_max	minimum_state_sign_stability
IRF2BPL	-0.484039737228054	-3.35814895561804	down	1	1	1	1	-0.559894823271413	-0.462121995988464	-0.347688538230231	1
KIF9-AS1	0.405787790220743	3.35781142026637	up	1	1	1	1	0.372210944305708	0.413494962707328	0.493736893052905	1
COX6B1	-0.330349169294513	-3.3493492050333	down	1	1	1	1	-0.420391092297877	-0.352929602030311	-0.265587500334171	1
SAYSD1	-0.346024356552312	-3.34831912353751	down	1	1	1	1	-0.385490602470622	-0.331991867847611	-0.246428573521042	1
PPA2	-0.265561103672419	-3.34639288087448	down	1	1	1	1	-0.360196372552282	-0.318228972919299	-0.253430308839613	1
SCHLAP1	-0.482570290479142	-3.34580646815872	down	1	1	1	1	-0.601862140613711	-0.503825004493271	-0.43419364167221	1
DEF8	0.387990538882938	3.3409213294582	up	1	1	1	1	0.227197312022606	0.328301678179538	0.416889729630768	1
CARS2	0.235704109979512	3.3394207567981	up	1	1	1	1	0.190924674313699	0.239741769711326	0.2803115092257	1
ULK1	0.333504183334862	3.33698483469001	up	1	1	1	1	0.176671963370301	0.260642479121927	0.308678155400046	1
ERAP2	0.408646726563252	3.33190796890982	up	1	1	1	1	0.435556516526914	0.54108116945738	0.58478633164808	1
ZFP36	-0.409538365398574	-3.33123787024567	down	1	1	1	1	-0.493851222448104	-0.425126665705756	-0.333764680083702	1
KAT7	-0.363302752799987	-3.32847119103123	down	1	1	1	1	-0.442760795451566	-0.386310163480162	-0.273131354858032	1
TANGO6	0.35577437082055	3.32686417765006	up	1	1	1	1	0.298857921061184	0.360019147445495	0.474521348187567	1
UQCR10	-0.324799912602868	-3.32551486101591	down	1	1	1	1	-0.460810532903454	-0.38280237973593	-0.242684932062375	1
ACVR1	0.314432074794026	3.32525090041904	up	1	1	1	1	0.275720264926484	0.306312851699011	0.33550068915258	1
MTX2	-0.321786400150636	-3.32400914018678	down	1	1	1	1	-0.333194356944931	-0.280567848655967	-0.17587123725642	1
ZCCHC7	0.231593931535539	3.32126411845637	up	1	1	1	1	0.237138491323544	0.252761908299936	0.308973331693115	1
RABEP1	0.231292936209369	3.32109213194746	up	1	1	1	1	0.209748626588033	0.244038729559646	0.281113611066817	1
CSRP1	-0.367333396365673	-3.32077985344012	down	1	1	1	1	-0.494205118788168	-0.393219120207592	-0.333987334542473	1
BPTF	0.187200457994729	3.32008229658565	up	1	1	1	1	0.202609461752202	0.226184796210527	0.252583728763826	1
KBTBD11	-0.314639028915821	-3.31732977554678	down	1	1	1	1	-0.345476162051624	-0.282151591064123	-0.247393111914618	1
LINC02742	0.607095394011035	3.31610340899083	up	1	1	1	1	0.397366986060446	0.56724130416308	0.782765931869956	1
KCTD7	0.294603841238704	3.31415745099387	up	1	1	1	1	0.202794847886426	0.279049690072907	0.327013125134046	1
NPC2	-0.360658289070691	-3.31280522110003	down	1	1	1	1	-0.437120809503485	-0.362214498122918	-0.290111501987695	1
HECA	-0.296614230404028	-3.31275773698432	down	1	1	1	1	-0.385635478851322	-0.337864444455495	-0.286649680859568	1
EPHA4	0.322757415681584	3.31231292713122	up	1	1	1	1	0.305462379382142	0.343417660841985	0.389341818018185	1
SYAP1	-0.174423821530647	-3.31148673603185	down	1	1	1	1	-0.205438542947631	-0.176361123809458	-0.149499075521424	1
RERE	0.17501900365198	3.31126584045754	up	1	1	1	1	0.157651349142087	0.175863474097101	0.205792302720244	1
MRPL51	-0.319328245044893	-3.30857168439369	down	1	1	1	1	-0.374909060286439	-0.312294502096288	-0.277568378788868	1
GPRC5D-AS1	0.330624835183262	3.30791268839236	up	1	1	1	1	0.327323042819921	0.355090889728632	0.405083854159753	1
PSMB4	-0.304536571135887	-3.30631775992787	down	1	1	1	1	-0.354545199112907	-0.297758187378949	-0.194158093211291	1
CYP3A5	0.39527212050991	3.3058908444528	up	1	1	1	1	0.302273671020234	0.413811735475901	0.497317703108265	1
SAFB2	0.225894859531761	3.29991003731985	up	1	1	1	1	0.17752788356314	0.208662706917867	0.233981669646151	1
NAA25	0.282392895081925	3.29886851185791	up	1	1	1	1	0.279919595956556	0.301618030774981	0.376863422208584	1
IRF3	0.273148090422833	3.29756926074216	up	1	1	1	1	0.161346063185374	0.226301828232553	0.261155576837359	1
