gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	selected
TBX3	0.28470665	0.28510287	0.11542802210897207	0.4667026661336422	0.999	0.002	0.0011680534	0.015846696449565014	False	True	True	0.28470665	True
ANKH	0.28274557	0.286192	0.04677286995574832	0.5134644567966461	0.995	0.01	0.0032487593	0.05908819919340698	False	True	True	0.28274557	True
ETS2	0.2749734	0.27648538	0.10353910233825445	0.4476648978888988	0.998	0.004	0.0026748478	0.02861218424962853	False	True	True	0.2749734	True
KRT6B	0.27151206	0.2605949	0.015170079446397722	0.8331370994448658	1.0	0.000999000999000999	0.037197	0.012651009268822122	False	True	True	0.27151206	True
LRRC36	0.27030173	0.26922715	0.12289556097239256	0.4266357541084289	1.0	0.000999000999000999	0.011198619	0.012651009268822122	False	True	True	0.27030173	True
SLC40A1	0.26296604	0.26181602	0.09487627856433392	0.47920375317335123	1.0	0.000999000999000999	0.0064309794	0.012651009268822122	False	True	True	0.26296604	True
SLC35F1	0.26164308	0.251598	0.011882506869733338	0.5043386250734329	0.977	0.046	0.077475674	0.1774187936362596	False	True	True	0.26164308	True
CYP4X1	0.25991496	0.26034057	0.13010646291077138	0.3928748153150081	1.0	0.000999000999000999	0.0025124499	0.012651009268822122	False	True	True	0.25991496	True
SEMA3F	0.25506988	0.2565862	0.10728108920156956	0.39737008437514304	0.999	0.002	0.0019257318	0.015846696449565014	False	True	True	0.25506988	True
ZFP36L1	0.25073522	0.25013077	0.059031315520405775	0.47334741652011864	0.992	0.016	0.0123756025	0.0843372438604724	False	True	True	0.25073522	True
CPNE7	0.24887317	0.24068215	0.11182874701917171	0.42564628198742865	1.0	0.000999000999000999	0.002298354	0.012651009268822122	False	True	True	0.24887317	True
ZNF503	0.2449439	0.24182001	0.12241562586277724	0.3917520180344581	1.0	0.000999000999000999	0.015756708	0.012651009268822122	False	True	True	0.2449439	True
FIRRE	0.2341168	0.22760451	0.03862374844029546	0.5982538148760795	0.999	0.002	0.014817467	0.015846696449565014	False	True	True	0.2341168	True
MAGEB17-AS1	0.23315665	0.22399044	0.005042567511554808	0.6433421611785887	0.99	0.02	0.04199611	0.09943346119799351	False	True	True	0.23315665	True
LZTS3	0.2262522	0.22345364	0.10010779406875372	0.3707240864634514	1.0	0.000999000999000999	0.010683437	0.012651009268822122	False	True	True	0.2262522	True
NOS2	0.2230627	0.20881361	0.010137403453700244	0.5847017884254454	0.991	0.018	0.014549286	0.092057064804978	False	True	True	0.2230627	True
PVT1	0.77282476	0.7742378	0.45316592752933504	1.1231940388679504	1.0	0.000999000999000999	-0.0061172997	0.012651009268822122	False	True	False	0.77282476	False
SLC12A2	0.6673086	0.6758001	0.37094886526465415	0.9564440190792083	1.0	0.000999000999000999	-0.006719459	0.012651009268822122	False	True	False	0.6673086	False
BACE2	0.6330978	0.6389154	0.3473432660102844	0.9026555851101875	1.0	0.000999000999000999	-0.13764547	0.012651009268822122	False	True	False	0.6330978	False
S100P	0.62604064	0.62216747	0.38139293268322944	0.9104645550251007	1.0	0.000999000999000999	-0.28258955	0.012651009268822122	False	True	False	0.62604064	False
DEFA5	0.62049264	0.6202184	0.2902052879333496	0.9652322322130202	1.0	0.000999000999000999	-0.010513308	0.012651009268822122	False	True	False	0.62049264	False
CADPS	0.6157172	0.61042774	0.2708258867263794	0.9866547480225563	1.0	0.000999000999000999	-0.016718484	0.012651009268822122	False	True	False	0.6157172	False
LCN2	0.59599423	0.5947118	0.3421119198203087	0.8862346559762954	1.0	0.000999000999000999	-0.15381777	0.012651009268822122	False	True	False	0.59599423	False
